x	y
-6.9074629453544105	830131278970880
-6.907099744271854	1090715534753792
-6.906736543189297	1402427081228288
-6.90637334210674	1136345267306496
-6.906010141024183	255086697644032
-6.905646939941626	-545357767376896
-6.905283738859069	-575594337140736
-6.9049205377765155	100055558127616
-6.9045573366939585	771307406884864
-6.904194135611402	914793674309632
-6.903830934528845	749317174329344
-6.903467733446288	884557104545792
-6.903104532363731	1497534837030912
-6.902741331281174	2030797976502272
-6.902378130198617	1782858104438784
-6.90201492911606	736123034796032
-6.901651728033503	-352943232516096
-6.901288526950946	-701488418521088
-6.900925325868389	-268830592991232
-6.900562124785832	294669116243968
-6.900198923703275	402421255766016
-6.899835722620718	119297011613696
-6.899472521538161	-54975581388800
-6.899109320455608	131941395333120
-6.898746119373051	380980779024384
-6.898382918290494	251238406946816
-6.898019717207937	-230897441832960
-6.89765651612538	-547556790632448
-6.897293315042823	-282024732524544
-6.896930113960266	358440790654976
-6.896566912877709	765260092932096
-6.8962037117951525	629470406901760
-6.8958405107125955	323806174380032
-6.895477309630039	465093418549248
-6.895114108547482	1150089162653696
-6.894750907464925	1741076662583296
-6.894387706382368	1501932883542016
-6.894024505299811	382080290652160
-6.893661304217254	-901599534776320
-6.8932981031347005	-1600888930041856
-6.8929349020521435	-1660262557941760
-6.892571700969587	-1660812313755648
-6.89220849988703	-2072029662543872
-6.891845298804473	-2694902999678976
-6.891482097721916	-2876322418262016
-6.891118896639359	-2250150546243584
-6.890755695556802	-1116004302192640
-6.890392494474245	-81363860455424
-6.890029293391688	579992383651840
-6.889666092309131	1109407232425984
-6.889302891226574	1820791255597056
-6.888939690144017	2616837674106880
-6.88857648906146	3061040371728384
-6.888213287978903	2894464360120320
-6.887850086896346	2345258302046208
-6.887486885813793	1844430755594240
-6.887123684731236	1498634348658688
-6.886760483648679	1009351674298368
-6.886397282566122	146235046494208
-6.886034081483565	-784501546418176
-6.885670880401008	-1136345267306496
-6.885307679318451	-617375778996224
-6.884944478235894	282024732524544
-6.8845812771533375	706436220846080
-6.8842180760707805	273778395316224
-6.883854874988224	-538760697610240
-6.883491673905667	-926888302215168
-6.88312847282311	-593736278999040
-6.882765271740553	29686813949952
-6.882402070657996	385928581349376
-6.882038869575439	469491465060352
-6.8816756684928855	772406918512640
-6.8813124674103285	1562955778883584
-6.880949266327772	2417826069479424
-6.880586065245215	2636628883406848
-6.880222864162658	2094569650913280
-6.879859663080101	1494786057961472
-6.879496461997544	1589344057950208
-6.879133260914987	2213866662526976
-6.87877005983243	2280387116007424
-6.878406858749873	925788790587392
-6.878043657667316	-1383185627742208
-6.877680456584759	-3037950627545088
-6.877317255502202	-2725139569442816
-6.876954054419645	-665754290618368
-6.876590853337088	1633874278875136
-6.876227652254531	2879620953145344
-6.875864451171978	3139105697300480
-6.875501250089421	3456314801913856
-6.875138049006864	4432131371565056
-6.874774847924307	5378810883080192
-6.87441164684175	5042910080794624
-6.874048445759193	3083030604283904
-6.873685244676636	678398674337792
-6.873322043594079	-503576325521408
-6.8729588425115224	108301895335936
-6.8725956414289655	1504131906797568
-6.872232440346409	2196274476482560
-6.871869239263852	1711389848633344
-6.871506038181295	894452709195776
-6.871142837098738	793297639440384
-6.870779636016181	1428265604481024
-6.870416434933627	1792753709088768
-6.8700532338510705	1043436534759424
-6.8696900327685135	-509073883660288
-6.869326831685957	-1691598639333376
-6.8689636306034	-1707541557936128
-6.868600429520843	-942831220817920
-6.868237228438286	-482685604593664
-6.867874027355729	-927438058029056
-6.867510826273172	-1801549802110976
-6.867147625190615	-2161639860207616
-6.866784424108058	-1653665488175104
-6.866421223025501	-860917604548608
-6.866058021942944	-623423092948992
-6.865694820860387	-1156686232420352
-6.86533161977783	-1922496081166336
-6.864968418695273	-2308424662515712
-6.86460521761272	-2268842243915776
-6.864242016530163	-2239705185779712
-6.863878815447606	-2532175278768128
-6.863515614365049	-2986273581039616
-6.863152413282492	-3258952464728064
-6.862789212199935	-3319975360069632
-6.862426011117378	-3470058697261056
-6.862062810034821	-3838944848379904
-6.861699608952264	-4015416464637952
-6.861336407869707	-3350761685647360
-6.8609732067871505	-1707541557936128
-6.860610005704594	188016488349696
-6.860246804622037	1233102290550784
-6.85988360353948	849372732456960
-6.859520402456923	-599783592951808
-6.859157201374366	-2208918860201984
-6.858794000291812	-3267748557750272
-6.8584307992092555	-3567365476319232
