x	y
-6.907202951399064	-5490981470208
-6.906839750316415	-4411199848448
-6.906476549233766	-2321429823488
-6.906113348151116	-304540024832
-6.905750147068471	832552566784
-6.905386945985821	1035758206976
-6.905023744903172	575525617664
-6.904660543820523	-536602476544
-6.904297342737873	-2428401352704
-6.903934141655224	-4643530735616
-6.903570940572575	-5819949121536
-6.903207739489925	-4488643477504
-6.902844538407276	-462245855232
-6.902481337324627	4555618123776
-6.902118136241981	7928912281600
-6.901754935159332	7894149890048
-6.901391734076682	4638564679680
-6.901028532994033	-227096395776
-6.900665331911384	-5127788298240
-6.9003021308287344	-9438593286144
-6.899938929746085	-13137633869824
-6.899575728663436	-15881178447872
-6.8992125275807865	-16748627623936
-6.898849326498137	-15038827986944
-6.898486125415491	-11224628592640
-6.898122924332842	-6930466603008
-6.897759723250193	-3836747972608
-6.8973965221675435	-2577785683968
-6.897033321084894	-2696031502336
-6.896670120002245	-3540932100096
-6.896306918919596	-4995852271616
-6.895943717836946	-7188969947136
-6.895580516754297	-9609586671616
-6.895217315671648	-10860630114304
-6.894854114589002	-9642604232704
-6.894490913506353	-6129992073216
-6.894127712423703	-2239691227136
-6.893764511341054	-263200964608
-6.893401310258405	-1021531127808
-6.893038109175755	-3317593800704
-6.892674908093106	-5258650583040
-6.892311707010457	-6127710371840
-6.891948505927807	-6870873931776
-6.891585304845158	-8664962301952
-6.891222103762512	-11078331269120
-6.890858902679863	-11913433972736
-6.890495701597214	-9192303755264
-6.890132500514564	-3457448673280
-6.889769299431915	2040243683328
-6.889406098349266	3835808448512
-6.8890428972666164	1332782039040
-6.888679696183967	-2430011965440
-6.888316495101318	-3276388958208
-6.8879532940186685	428691423232
-6.887590092936023	6198577332224
-6.8872268918533734	9410675998720
-6.886863690770724	7123605913600
-6.886500489688075	391244677120
-6.8861372886054255	-6783363973120
-6.885774087522776	-10646687055872
-6.885410886440127	-10095052193792
-6.885047685357478	-6477481771008
-6.884684484274828	-1664702480384
-6.884321283192179	3287126376448
-6.883958082109533	7690541596672
-6.883594881026884	10120419344384
-6.883231679944235	8634092224512
-6.882868478861585	2673885577216
-6.882505277778936	-5299318554624
-6.882142076696287	-10740236812288
-6.881778875613637	-10431401820160
-6.881415674530988	-5506282291200
-6.881052473448339	-1022067998720
-6.880689272365689	-1999575711744
-6.880326071283044	-9247601459200
-6.879962870200394	-18705790533632
-6.879599669117745	-24876853231616
-6.879236468035096	-25168374136832
-6.878873266952446	-21264248864768
-6.878510065869797	-16662057189376
-6.878146864787148	-13177496535040
-6.8777836637044985	-9901107576832
-6.877420462621849	-5262006026240
-6.877057261539203	416477609984
-6.876694060456554	4806202621952
-6.876330859373905	5982352572416
-6.8759676582912554	4592125345792
-6.875604457208606	3276254740480
-6.875241256125957	3878355468288
-6.8748780550433075	5488968204288
-6.874514853960658	5532186312704
-6.874151652878009	2805821603840
-6.87378845179536	-832149913600
-6.873425250712714	-2106547240960
-6.8730620496300645	285346889728
-6.872698848547415	4079010971648
-6.872335647464766	5452326764544
-6.871972446382117	2723680354304
-6.871609245299467	-1952465289216
-6.871246044216818	-4593199087616
-6.870882843134169	-3073585971200
-6.870519642051519	1108504215552
-6.87015644096887	4544880705536
-6.869793239886224	5171140624384
-6.869430038803575	3829902868480
-6.869066837720926	2902861021184
-6.868703636638276	3771652374528
-6.868340435555627	5737673654272
-6.867977234472978	7155549732864
-6.867614033390328	7186554028032
-6.867250832307679	6271591776256
-6.86688763122503	5190199541760
-6.8665244301423805	4156991471616
-6.866161229059735	3063519641600
-6.865798027977085	2286935867392
-6.865434826894436	2690125922304
-6.865071625811787	4497636065280
-6.8647084247291374	6374134120448
-6.864345223646488	6138313572352
-6.863982022563839	2787433775104
-6.8636188214811895	-2176743112704
-6.86325562039854	-5706535141376
-6.862892419315891	-5782502375424
-6.862529218233245	-3190623830016
-6.862166017150596	-787321192448
-6.8618028160679465	-984352817152
-6.861439614985297	-3848290697216
-6.861076413902648	-7428414373888
-6.860713212819999	-9662736891904
-6.860350011737349	-9880706482176
-6.8599868106547	-8730326335488
-6.859623609572051	-7139846258688
-6.859260408489401	-5654592880640
-6.858897207406756	-4588769902592
-6.858534006324106	-4289464369152
-6.858170805241457	-4864453115904
-6.857807604158808	-5778341625856
-6.857444403076158	-6173344399360
-6.857081201993509	-5890681864192
-6.85671800091086	-5970004541440
-6.85635479982821	-7651618455552
-6.855991598745561	-10623333171200
-6.855628397662912	-12534996271104
-6.855265196580266	-10850966437888
-6.854901995497617	-5570438365184
-6.854538794414967	15703474176
-6.854175593332318	1768587001856
-6.853812392249669	-1666447310848
-6.8534491911670194	-7519011340288
-6.85308599008437	-11281134256128
-6.852722789001721	-10602126770176
-6.8523595879190715	-6997038596096
-6.851996386836422	-3943853719552
-6.8516331857537764	-3587371433984
-6.851269984671127	-5410719268864
-6.850906783588478	-7782883393536
-6.8505435825058285	-10078140760064
-6.850180381423179	-12695923326976
-6.84981718034053	-15144994209792
-6.849453979257881	-15009300086784
-6.849090778175231	-9829166874624
-6.848727577092582	-370440929280
-6.848364376009933	8510209261568
-6.848001174927287	11251203702784
-6.847637973844638	6559354585088
-6.847274772761988	-921673138176
-6.846911571679339	-4367042215936
-6.84654837059669	-744774172672
-6.84618516951404	6607538749440
-6.845821968431391	11294287593472
-6.845458767348742	9844333477888
-6.845095566266092	4611452698624
-6.844732365183447	984889688064
-6.844369164100797	1926158614528
-6.844005963018148	5278514806784
-6.843642761935499	6271860211712
-6.843279560852849	2437662375936
-6.8429163597702	-3987206045696
-6.842553158687551	-8275194019840
-6.8421899576049015	-7545452232704
-6.841826756522252	-2998826696704
-6.841463555439603	1691009155072
-6.841100354356957	3771920809984
-6.840737153274308	3267933241344
-6.8403739521916584	2049236271104
-6.840010751109009	1680808607744
-6.83964755002636	2326127443968
-6.8392843489437105	3331552444416
-6.838921147861061	4318455398400
-6.838557946778412	5504000589824
-6.838194745695763	7223463903232
-6.837831544613113	9500467658752
-6.8374683435304675	12114894782464
-6.837105142447818	14781935255552
-6.836741941365169	16995185590272
-6.83637874028252	17819953528832
-6.83601553919987	16287992381440
-6.835652338117221	12352997031936
-6.835289137034572	7424253624320
-6.834925935951922	3627099881472
-6.834562734869273	2243180888064
-6.834199533786624	2837362769920
-6.833836332703978	3992708972544
-6.833473131621329	4859487059968
-6.833109930538679	5779146932224
-6.83274672945603	7281580179456
-6.832383528373381	8713414901760
-6.832020327290731	8349147987968
-6.831657126208082	5233686085632
-6.831293925125433	841679372288
-6.8309307240427835	-1541893259264
-6.830567522960134	415940739072
-6.830204321877488	5758611619840
-6.829841120794839	10774596550656
-6.82947791971219	12139322408960
-6.8291147186295404	9734543376384
-6.828751517546891	6444732645376
-6.828388316464242	5171677495296
-6.8280251153815925	6032818438144
-6.827661914298943	6453188362240
-6.827298713216294	3950833041408
-6.826935512133645	-1192792948736
-6.826572311050999	-5956180115456
-6.8262091099683495	-7195278180352
-6.8258459088857	-4350533435392
-6.825482707803051	145760452608
-6.825119506720402	2920175108096
-6.824756305637752	2246938984448
-6.824393104555103	-889595101184
-6.824029903472454	-3797690613760
-6.823666702389804	-4104243904512
-6.823303501307155	-1327950200832
-6.822940300224509	2860179783680
-6.82257709914186	5685060304896
-6.822213898059211	4991959957504
-6.821850696976561	692429258752
-6.821487495893912	-5009676697600
-6.821124294811263	-8940377079808
-6.820761093728613	-9068286574592
-6.820397892645964	-5868267503616
-6.820034691563315	-1825226883072
-6.8196714904806655	534589210624
-6.81930828939802	403995361280
-6.81894508831537	-1189974376448
-6.818581887232721	-2753342472192
-6.818218686150072	-3673807650816
-6.8178554850674224	-4291074981888
-6.817492283984773	-4947802324992
-6.817129082902124	-5336899518464
-6.8167658818194745	-4913576804352
-6.816402680736825	-3745345699840
-6.8160394796541794	-2591475892224
-6.81567627857153	-2000917889024
-6.815313077488881	-1520552640512
-6.8149498764062315	-103213432832
-6.814586675323582	2622882840576
-6.814223474240933	5722507051008
-6.813860273158284	7836704702464
-6.813497072075634	8661204205568
-6.813133870992985	9255386087424
-6.812770669910336	10684133801984
-6.81240746882769	12536875319296
-6.812044267745041	13221117296640
-6.811681066662391	11910615400448
-6.811317865579742	9872250765312
-6.810954664497093	9261828538368
-6.810591463414443	10343354990592
-6.810228262331794	10331409612800
-6.809865061249145	5819009597440
-6.809501860166495	-3122709659648
-6.809138659083846	-11507827998720
-6.8087754580012	-12913758699520
-6.808412256918551	-5206171451392
-6.808049055835902	6928855990272
-6.807685854753252	15473693425664
-6.807322653670603	15683475734528
-6.806959452587954	9750649503744
-6.8065962515053045	4224637206528
-6.806233050422655	3865739001856
-6.805869849340006	7857240014848
-6.8055066482573565	11617081229312
-6.805143447174711	11777605632000
-6.8047802460920614	9072715759616
-6.804417045009412	6592237928448
-6.804053843926763	5911619829760
-6.8036906428441135	5576075509760
-6.803327441761464	3414499000320
-6.802964240678815	-253403070464
-6.802601039596166	-2398202363904
-6.802237838513516	-449763606528
-6.801874637430867	4636282978304
-6.801511436348221	8934471499776
-6.801148235265572	9338198425600
-6.800785034182923	6666594549760
-6.800421833100273	4830093377536
-6.800058632017624	6902415097856
-6.799695430934975	12106573283328
-6.799332229852325	16671855083520
-6.798969028769676	17521990172672
-6.798605827687027	15058021122048
-6.798242626604377	12503723540480
-6.797879425521732	12831617449984
-6.797516224439082	16378186694656
-6.797153023356433	21063593361408
-6.796789822273784	24346156335104
-6.796426621191134	24755251970048
-6.796063420108485	22004728070144
-6.795700219025836	16490929586176
-6.7953370179431865	9270821126144
-6.794973816860537	2362500448256
-6.794610615777888	-1702551879680
-6.794247414695242	-1401233080320
-6.793884213612593	2377935486976
-6.7935210125299434	6586063912960
-6.793157811447294	8028770271232
-6.792794610364645	5520375152640
-6.7924314092819955	415672303616
-6.792068208199346	-4683124965376
-6.791705007116697	-7690273161216
-6.791341806034048	-7899787034624
-6.790978604951398	-5791629180928
-6.7906154038687525	-2525843423232
-6.790252202786103	415001214976
-6.789889001703454	1680137519104
-6.789525800620805	798461263872
-6.789162599538155	-1336271699968
-6.788799398455506	-3051037392896
-6.788436197372857	-3367791230976
-6.788072996290207	-2974935941120
-6.787709795207558	-3483352694784
-6.787346594124912	-5534065360896
-6.786983393042263	-7793755029504
-6.786620191959614	-8173591199744
-6.786256990876964	-6174015488000
-6.785893789794315	-3755009376256
-6.785530588711666	-3475299631104
-6.785167387629016	-5670296354816
-6.784804186546367	-7791473328128
-6.784440985463718	-6956102189056
-6.7840777843810685	-3211159142400
-6.783714583298423	98515812352
-6.783351382215773	-352992624640
-6.782988181133124	-4091224784896
-6.782624980050475	-6672231694336
-6.7822617789678254	-3749238013952
-6.781898577885176	4407307534336
-6.781535376802527	12441714950144
-6.7811721757198775	14204799025152
-6.780808974637228	7929314934784
-6.780445773554579	-2367198068736
-6.780082572471933	-10269132587008
-6.779719371389284	-11843640754176
-6.7793561703066345	-7881399205888
-6.778992969223985	-2287338520576
-6.778629768141336	1187558457344
-6.778266567058687	1057635696640
-6.777903365976037	-1835024777216
-6.777540164893388	-5321330262016
-6.777176963810739	-6979724509184
-6.776813762728089	-5256771534848
-6.776450561645444	-661693399040
-6.776087360562794	3905333231616
-6.775724159480145	4818013782016
-6.775360958397496	777657516032
-6.774997757314846	-5422798864384
-6.774634556232197	-8731131641856
-6.774271355149548	-6270518034432
-6.773908154066898	-310311387136
-6.773544952984249	3512209506304
-6.7731817519016	1482837458944
-6.772818550818954	-4445022715904
-6.772455349736305	-8360824930304
-6.772092148653655	-6111604244480
-6.771728947571006	627736313856
-6.771365746488357	6058722459648
-6.7710025454057075	6022215237632
-6.770639344323058	1957968216064
-6.770276143240409	-881810472960
-6.7699129421577595	1099780063232
-6.76954974107511	6446074822656
-6.7691865399924644	10638499774464
-6.768823338909815	10988942262272
-6.768460137827166	9056072761344
-6.7680969367445165	8253719183360
-6.767733735661867	9703404863488
-6.767370534579218	11132823666688
-6.767007333496569	9902181318656
-6.766644132413919	6432921485312
-6.76628093133127	3908822892544
-6.765917730248621	4537230295040
-6.765554529165975	6785108803584
-6.765191328083326	7006836490240
-6.764828127000676	3794335170560
-6.764464925918027	25501368320
-6.764101724835378	-37715181568
-6.763738523752728	4375766368256
-6.763375322670079	9223039614976
-6.76301212158743	9723269087232
-6.76264892050478	5664122339328
-6.762285719422131	2062255390720
-6.761922518339485	4076192399360
-6.761559317256836	11355356659712
-6.761196116174187	17914577027072
-6.760832915091537	17976988270592
-6.760469714008888	11881221718016
-6.760106512926239	5905714249728
-6.7597433118435895	6052951097344
