x	y
-6.9072029515341775	-10871970975449088
-6.906839750451525	-2418925581107200
-6.906476549368875	4846647255236608
-6.9061133482862225	5092937859858432
-6.905750147203573	-659706976665600
-6.90538694612092	-5572324929568768
-6.905023745038271	-4292493394837504
-6.904660543955618	1402976837042176
-6.904297342872969	4912617952903168
-6.903934141790316	2264993953218560
-6.903570940707667	-3412884092616704
-6.903207739625014	-5488762045857792
-6.9028445385423645	-1275433488220160
-6.902481337459712	4912617952903168
-6.902118136377062	6698224836411392
-6.901754935294409	2797157581062144
-6.90139173421176	-1578898697486336
-6.901028533129107	-703687441776640
-6.900665332046458	5070947627302912
-6.900302130963805	9451401952362496
-6.899938929881156	6997291999166464
-6.899575728798503	-936783906865152
-6.899212527715854	-7731765766520832
-6.898849326633204	-8475035626897408
-6.898486125550551	-4820258976169984
-6.898122924467902	-2528876743884800
-6.897759723385249	-4837851162214400
-6.8973965223026	-9323858603540480
-6.897033321219947	-11373348277714944
-6.896670120137298	-9772459347673088
-6.896306919054645	-7872503254876160
-6.895943717971996	-9033587533807616
-6.895580516889343	-12037453300891648
-6.895217315806693	-12116618138091520
-6.8948541147240405	-6561885394567168
-6.894490913641391	1693247906775040
-6.894127712558738	6733409208500224
-6.893764511476089	5801023348146176
-6.893401310393436	1869169767219200
-6.893038109310787	-215504279044096
-6.892674908228134	422212465065984
-6.892311707145485	-57174604644352
-6.891948506062832	-5101733952880640
-6.8915853049801825	-12538830603157504
-6.89122210389753	-15740608463241216
-6.89085890281488	-10467350696427520
-6.8904957017322275	39582418599936
-6.890132500649578	7547047813054464
-6.889769299566929	6535497115500544
-6.889406098484276	-800444465020928
-6.889042897401627	-7362329859588096
-6.888679696318974	-8356288371097600
-6.8883164952363245	-5194092929613824
-6.887953294153672	-2264993953218560
-6.887590093071022	-1090715534753792
-6.8872268919883695	1183074511486976
-6.88686369090572	7432698603765760
-6.886500489823067	15661443626041344
-6.886137288740418	19953937020878850
-6.885774087657765	16563043160817664
-6.885410886575116	8536608278052864
-6.885047685492463	3426078232150016
-6.884684484409814	6170459255078912
-6.884321283327161	14386010137821184
-6.8839580822445114	20886322881232896
-6.883594881161859	20538877206855680
-6.883231680079209	14346427719221248
-6.882868478996556	7225990417743872
