x	y
-6.9011930945954205	-138564234903552
-6.900829893510586	-119374321025024
-6.900466692425752	-78915729096704
-6.900103491340918	-46660524703744
-6.899740290256084	-43525198577664
-6.899377089171249	-59072980189184
-6.899013888086415	-59287728553984
-6.8986506870015845	-21741124452352
-6.89828748591675	36661840838656
-6.897924284831916	71597104824320
-6.897561083747082	55877524520960
-6.8971978826622475	12343736008704
-6.896834681577413	-2508260900864
-6.896471480492579	46703474376704
-6.896108279407745	134552735449088
-6.895745078322911	192569153683456
-6.895381877238076	171240346091520
-6.895018676153242	86414741995520
-6.894655475068408	4131758538752
-6.894292273983574	-22016002359296
-6.8939290728987395	1623497637888
-6.893565871813905	22686017257472
-6.8932026707290746	1726576852992
-6.89283946964424	-45569603010560
-6.892476268559406	-66030827208704
-6.892113067474572	-26499948216320
-6.891749866389738	49744311222272
-6.891386665304903	104822971826176
-6.891023464220069	102349070663680
-6.890660263135235	58531814309888
-6.890297062050401	18391049961472
-6.8899338609655665	5720896438272
-6.889570659880732	2138893713408
-6.889207458795898	-23613730193408
-6.888844257711064	-71622874628096
-6.88848105662623	-103397042683904
-6.888117855541399	-82214263980032
-6.887754654456565	-18056042512384
-6.88739145337173	33466385170432
-6.887028252286896	21225728376832
-6.886665051202062	-52183852646400
-6.886301850117228	-132345122258944
-6.8859386490323935	-164883794493440
-6.885575447947559	-145470542315520
-6.885212246862725	-119013543772160
-6.884849045777891	-131786776510464
-6.884485844693057	-186539019599872
-6.884122643608222	-243559005421568
-6.883759442523388	-261743896952832
-6.883396241438554	-234204566650880
-6.88303304035372	-184614874251264
-6.882669839268889	-135188390608896
-6.882306638184055	-85581518340096
-6.8819434370992205	-25048249270272
-6.881580236014386	40656160423936
-6.881217034929552	83227876261888
-6.880853833844718	76785425317888
-6.880490632759884	27058293964800
-6.880127431675049	-29102698397696
-6.879764230590215	-55533927137280
-6.879401029505381	-46480136077312
-6.879037828420547	-22995254902784
-6.878674627335712	-2207613190144
-6.878311426250878	23459111370752
-6.877948225166044	71133248356352
-6.87758502408121	132645769969664
-6.877221822996379	163243116986368
-6.876858621911545	114907555037184
-6.876495420826711	-13400297963520
-6.876132219741876	-161215892422656
-6.875769018657042	-249786708000768
-6.875405817572208	-248146030493696
-6.875042616487374	-199724569198592
-6.8746794154025395	-182261232173056
-6.874316214317705	-235802294484992
-6.873953013232871	-325953658028032
-6.873589812148037	-375895537745920
-6.8732266110632025	-336665306464256
-6.872863409978368	-230424995430400
-6.872500208893534	-128780299403264
-6.872137007808703	-89318139887616
-6.871773806723869	-110226040684544
-6.871410605639035	-141648021422080
-6.871047404554201	-137980119351296
-6.8706842034693665	-99969658781696
-6.870321002384532	-69526930587648
-6.869957801299698	-86062554677248
-6.869594600214864	-146286586101760
-6.86923139913003	-202344499249152
-6.868868198045195	-198083891691520
-6.868504996960361	-112468013613056
-6.868141795875527	22548578304000
-6.867778594790693	140325171494912
-6.867415393705858	179752971272192
-6.867052192621024	122483877347328
-6.8666889915361935	5308579577856
-6.866325790451359	-99711960743936
-6.865962589366525	-128050154962944
-6.865599388281691	-64166811402240
-6.865236187196857	46316927320064
-6.864872986112022	126881923858432
-6.864509785027188	125421634977792
-6.864146583942354	55061480734720
-6.86378338285752	-13580686589952
-6.863420181772685	-6674379177984
-6.863056980687851	93836445483008
-6.862693779603017	234195976716288
-6.862330578518183	329329502322688
-6.8619673774333485	326580723253248
-6.861604176348514	240131621519360
-6.861240975263684	130910603182080
-6.860877774178849	54013508714496
-6.860514573094015	20444044328960
-6.860151372009181	2001454759936
-6.859788170924347	-32899449487360
-6.859424969839512	-89292370083840
-6.859061768754678	-146466974728192
-6.858698567669844	-181677116620800
-6.85833536658501	-190404490166272
-6.8579721655001755	-185491047579648
-6.857608964415341	-181591217274880
-6.857245763330507	-183506772688896
-6.856882562245673	-187174674759680
-6.856519361160839	-186367220908032
-6.856156160076008	-174727859535872
-6.855792958991174	-143726785593344
-6.8554297579063395	-86011015069696
-6.855066556821505	-7224134991872
-6.854703355736671	65283502899200
-6.854340154651837	91800630984704
-6.8539769535670025	46901042872320
-6.853613752482168	-57217554317312
-6.853250551397334	-174040664768512
-6.8528873503125	-253102422753280
-6.852524149227666	-272653113884672
-6.852160948142831	-247450245791744
-6.851797747057997	-207472690200576
-6.851434545973163	-170948288315392
-6.851071344888329	-137387413864448
-6.850708143803498	-103362682945536
-6.850344942718664	-79113297592320
-6.84998174163383	-84619445665792
-6.849618540548995	-127234111176704
-6.849255339464161	-185147450195968
-6.848892138379327	-216818539036672
-6.848528937294493	-191589901139968
-6.848165736209658	-114598317391872
-6.847802535124824	-24249385353216
-6.84743933403999	34986803593216
-6.847076132955156	41291815583744
-6.8467129318703215	4063039062016
-6.846349730785487	-48808008351744
-6.845986529700653	-90744069029888
-6.845623328615819	-108155866447872
-6.845260127530988	-101283918774272
-6.844896926446154	-79233556676608
-6.84453372536132	-54494545051648
-6.844170524276485	-37735582662656
-6.843807323191651	-33560874450944
-6.843444122106817	-40157944217600
-6.843080921021983	-54159537602560
-6.8427177199371485	-75316546502656
-6.842354518852314	-103981158236160
-6.84199131776748	-131889855725568
-6.841628116682646	-138237817389056
-6.841264915597812	-102555229093888
-6.840901714512977	-28321014349824
-6.840538513428143	46016279609344
-6.840175312343312	67482526154752
-6.839812111258478	10617159155712
-6.839448910173644	-95021856456704
-6.83908570908881	-182570469818368
-6.8387225080039755	-201098958733312
-6.838359306919141	-158398393876480
-6.837996105834307	-112390704201728
-6.837632904749473	-116196045225984
-6.837269703664639	-167864501796864
-6.836906502579804	-212918708731904
-6.83654330149497	-198418899140608
-6.836180100410136	-126486786867200
-6.835816899325302	-55619826483200
-6.8354536982404674	-48404281425920
-6.835090497155633	-115302692028416
-6.8347272960708025	-206510617526272
-6.834364094985968	-255980050841600
-6.834000893901134	-233001975808000
-6.8336376928163	-155838593368064
-6.833274491731466	-63058709839872
-6.832911290646631	20933670600704
-6.832548089561797	92599494901760
-6.832184888476963	150547193659392
-6.831821687392129	182467390603264
-6.8314584863072945	176548925669376
-6.83109528522246	142893561937920
-6.830732084137626	114478058307584
-6.830368883052792	119614839193600
-6.8300056819679575	152832116260864
-6.829642480883123	177476638605312
-6.829279279798293	161336151506944
-6.828916078713458	109598975459328
-6.828552877628624	59639915872256
-6.82818967654379	41420664602624
-6.827826475458956	44384192036864
-6.8274632743741215	26852135534592
-6.827100073289287	-39556648796160
-6.826736872204453	-135334419496960
-6.826373671119619	-203950817017856
-6.826010470034785	-199106093907968
-6.82564726894995	-123342870806528
-6.825284067865116	-22986664968192
-6.824920866780282	51986284150784
-6.824557665695448	82970178224128
-6.824194464610617	82892868812800
-6.823831263525783	69956427317248
-6.8234680624409485	47210280517632
-6.823104861356114	7791070674944
-6.82274166027128	-45646912421888
-6.822378459186446	-93458488360960
-6.822015258101612	-113292647333888
-6.821652057016777	-99926709108736
-6.821288855931943	-68307159875584
-6.820925654847109	-37391985278976
-6.820562453762275	-13761075216384
-6.82019925267744	7310034337792
-6.819836051592606	27230092656640
-6.819472850507772	35356170780672
-6.819109649422938	18562848653312
-6.818746448338107	-21311627722752
-6.818383247253273	-63445256896512
-6.818020046168439	-84628035600384
-6.817656845083604	-80951543595008
-6.81729364399877	-71588514889728
-6.816930442913936	-79207786872832
-6.816567241829102	-105235288686592
-6.8162040407442674	-124356483088384
-6.815840839659433	-104599633526784
-6.815477638574599	-35785667510272
-6.815114437489765	57501022158848
-6.8147512364049305	129063767244800
-6.814388035320096	140402480906240
-6.814024834235262	86002425135104
-6.813661633150428	-1503238553600
-6.813298432065597	-69758858821632
-6.812935230980763	-79207786872832
-6.812572029895929	-31035433680896
-6.8122088288110945	29566554865664
-6.81184562772626	42520176230400
-6.811482426641426	-21947282882560
-6.811119225556592	-135652247076864
-6.8107560244717575	-229196634783744
-6.810392823386923	-245886877696000
-6.810029622302089	-189399467819008
-6.809666421217255	-121530394607616
-6.809303220132421	-107503031418880
-6.808940019047586	-155675384610816
-6.808576817962752	-208022446014464
-6.8082136168779215	-192715182571520
-6.807850415793087	-91422673862656
-6.807487214708253	41824391528448
-6.807124013623419	128230543589376
-6.806760812538585	131924215463936
-6.80639761145375	83485574299648
-6.806034410368916	40089224740864
-6.805671209284082	26534307954688
-6.805308008199248	18897856102400
-6.804944807114413	-15075335208960
-6.804581606029579	-65558380806144
-6.804218404944745	-78580721647616
-6.803855203859911	-9345848836096
-6.8034920027750765	122767345188864
-6.803128801690242	236472309383168
-6.802765600605412	251779572826112
-6.802402399520577	156525788135424
-6.802039198435743	15118284881920
-6.801675997350909	-85985245265920
-6.801312796266075	-103079215104000
-6.80094959518124	-53961969106944
-6.800586394096406	14903536517120
-6.800223193011572	70695161692160
-6.799859991926738	105106439667712
-6.7994967908419035	115912577384448
-6.799133589757069	94283122081792
-6.798770388672235	39118562131968
-6.798407187587401	-20392504721408
-6.798043986502567	-30794915512320
-6.797680785417732	43602507988992
-6.797317584332902	179589762514944
-6.796954383248067	299960515952640
-6.796591182163233	328504868601856
-6.796227981078399	248609886961664
-6.795864779993565	113421496352768
-6.7955015789087305	566935683072
-6.795138377823896	-44083544326144
-6.794775176739062	-24558622998528
-6.794411975654228	31172872634368
-6.794048774569394	103766409871360
-6.793685573484559	185834644963328
-6.793322372399725	260893493428224
-6.792959171314891	293372036120576
-6.792595970230057	251779572826112
-6.792232769145226	143726785593344
-6.791869568060392	20753281974272
-6.7915063669755575	-60988535603200
-6.791143165890723	-89446988906496
-6.790779964805889	-104273216012288
-6.790416763721055	-152290950381568
-6.790053562636221	-233843789398016
-6.789690361551386	-296060685647872
-6.789327160466552	-282900905852928
-6.788963959381718	-193170449104896
-6.788600758296884	-87058987089920
-6.7882375572120495	-31817117728768
-6.787874356127215	-39402029973504
-6.787511155042381	-57449482551296
-6.787147953957547	-23493471109120
-6.786784752872716	70738111365120
-6.786421551787882	167993350815744
-6.786058350703048	197680164765696
-6.785695149618213	141003776327680
-6.785331948533379	46832323395584
-6.784968747448545	-14319420964864
-6.784605546363711	-12309376270336
-6.7842423452788765	22763326668800
-6.783879144194042	37074157699072
-6.783515943109208	6648609374208
-6.783152742024374	-43258910605312
-6.78278954093954	-67044439490560
-6.782426339854705	-43344809951232
-6.782063138769871	8014408974336
-6.781699937685037	49134425866240
-6.781336736600206	60120952209408
-6.780973535515372	52974126628864
-6.780610334430538	53412213293056
-6.7802471333457035	72310069395456
-6.779883932260869	95262374625280
-6.779520731176035	97512937488384
-6.779157530091201	67181878444032
-6.778794329006367	14362370637824
-6.778431127921532	-39840116637696
-6.778067926836698	-81260781240320
-6.777704725751864	-110732846825472
-6.77734152466703	-137447543406592
-6.776978323582195	-166146514878464
-6.776615122497361	-190524749250560
-6.7762519214125305	-197937862803456
-6.775888720327696	-180474525777920
-6.775525519242862	-143769735266304
-6.775162318158028	-106420699660288
-6.774799117073194	-89489938579456
-6.774435915988359	-101850854457344
-6.774072714903525	-131803956379648
-6.773709513818691	-153433411682304
-6.773346312733857	-146990960738304
-6.7729831116490224	-119245472006144
-6.772619910564188	-104797202022400
-6.772256709479354	-141038136066048
-6.77189350839452	-231670535946240
-6.7715303073096855	-329226423107584
-6.771167106224851	-357349868961792
-6.770803905140021	-263367394590720
-6.770440704055186	-62904091017216
-6.770077502970352	160064841187328
-6.769714301885518	302700705087488
-6.769351100800684	307322089897984
-6.7689878997158495	193892003610624
-6.768624698631015	39505109188608
-6.768261497546181	-75076028334080
-6.767898296461347	-110217450749952
-6.7675350953765125	-75058848464896
-6.767171894291678	-3539053051904
-6.766808693206844	73194832658432
-6.76644549212201	136983686938624
-6.766082291037176	176428666585088
-6.765719089952341	181994944200704
-6.765355888867511	151483496529920
-6.7649926877826765	98612449116160
-6.764629486697842	49649821941760
-6.764266285613008	25838523252736
-6.763903084528174	26946624815104
