x	y
-6.907602942112543	39173322964992
-6.907239741030036	29992830369792
-6.906876539947529	23510650978304
-6.906513338865022	25105157586944
-6.9061501377825145	32178968723456
-6.905786936700007	36534065561600
-6.9054237356175	31015032586240
-6.905060534534993	15167677005824
-6.904697333452486	-4096325058560
-6.9043341323699785	-17016660426752
-6.903970931287471	-17277579689984
-6.903607730204964	-5711232761856
-6.903244529122457	10801842749440
-6.90288132803995	24049669373952
-6.9025181269574425	29244432318464
-6.902154925874935	26616986075136
-6.901791724792428	19394998566912
-6.901428523709921	10500121296896
-6.901065322627414	918049259520
-6.9007021215449065	-9281424326656
-6.900338920462399	-18950469451776
-6.899975719379892	-25382182977536
-6.899612518297385	-26056492843008
-6.899249317214878	-20975546531840
-6.8988861161323705	-13155484827648
-6.898522915049863	-6623913312256
-6.898159713967356	-3533684342784
-6.897796512884849	-2786360033280
-6.897433311802342	-1168231104512
-6.8970701107198344	3990024617984
-6.896706909637327	12585327919104
-6.89634370855482	21284784177152
-6.895980507472313	25027848175616
-6.895617306389806	19840601423872
-6.895254105307298	5712306503680
-6.894890904224791	-12099996614656
-6.894527703142284	-24867860643840
-6.894164502059777	-25165287129088
-6.893801300977266	-12030203396096
-6.893438099894759	7481833029632
-6.893074898812252	22404696899584
-6.8927116977297445	25323127177216
-6.892348496647237	17525614051328
-6.89198529556473	7528003928064
-6.891622094482223	4000762036224
-6.891258893399716	9151501565952
-6.890895692317208	18246094815232
-6.890532491234701	25266218860544
-6.890169290152194	29013577826304
-6.889806089069687	33545842065408
-6.88944288798718	42568494612480
-6.889079686904672	53565758373888
-6.888716485822165	58118423707648
-6.888353284739658	48935783628800
-6.887990083657151	27377195286528
-6.887626882574644	3999688294400
-6.887263681492136	-9219147300864
-6.886900480409629	-8607114461184
-6.886537279327122	-1798517555200
-6.886174078244615	-943819063296
-6.885810877162108	-11697343430656
-6.8854476760796	-27561878880256
-6.885084474997093	-34791382581248
-6.884721273914586	-24000277250048
-6.884358072832079	1292785156096
-6.883994871749572	26612691107840
-6.883631670667064	37461778497536
-6.883268469584557	30177513963520
-6.88290526850205	13683765805056
-6.882542067419543	966367641600
-6.882178866337036	-2048699400192
-6.881815665254528	-482110078976
-6.881452464172021	-4169339502592
-6.881089263089514	-17228187566080
-6.880726062007007	-33306397638656
-6.8803628609245	-40868761305088
-6.879999659841992	-33433099173888
-6.879636458759485	-15119358623744
-6.879273257676978	3435973836800
-6.878910056594471	14405320310784
-6.8785468555119635	18149458051072
-6.878183654429456	19916837093376
-6.877820453346949	22160957505536
-6.877457252264442	21112985485312
-6.877094051181935	11347303596032
-6.8767308500994275	-6790343294976
-6.87636764901692	-25368224333824
-6.876004447934413	-35159676026880
-6.875641246851906	-33651068764160
-6.875278045769399	-26174604443648
-6.8749148446868915	-18996640350208
-6.874551643604384	-12165494865920
-6.874188442521877	-502511173632
-6.87382524143937	17958332006400
-6.873462040356863	35818953506816
-6.8730988392743555	40757092155392
-6.872735638191848	27613418487808
-6.872372437109341	5704790310912
-6.872009236026834	-7667590365184
-6.871646034944327	-2823940997120
-6.8712828338618195	12518755926016
-6.870919632779312	19636590477312
-6.870556431696805	6154688135168
-6.870193230614298	-22049288355840
-6.869830029531791	-45743549186048
-6.8694668284492835	-49076443807744
-6.869103627366776	-32081258217472
-6.868740426284269	-7807176802304
-6.868377225201762	11269994184704
-6.868014024119255	23120882696192
-6.8676508230367475	33273111642112
-6.86728762195424	44458280222720
-6.866924420871733	51446192013312
-6.866561219789226	46893526679552
-6.866198018706719	31133144186880
-6.865834817624211	14355928186880
-6.865471616541701	8149700444160
-6.8651084154591935	15142980943872
-6.864745214376686	27448062246912
-6.864382013294179	34920231600128
-6.864018812211672	34041910788096
