x	y
-6.9075229438685355	140119013064704
-6.907159742786003	523779851681792
-6.906796541703468	526253752844288
-6.906433340620936	196950020325376
-6.9060701395384	-152694677307392
-6.905706938455868	-227736345903104
-6.905343737373332	-27900107554816
-6.9049805362908	150701812482048
-6.904617335208265	13194139533312
-6.904254134125729	-419669844426752
-6.903890933043197	-794534590021632
-6.903527731960661	-737222546423808
-6.903164530878129	-205058918580224
-6.902801329795594	460008177270784
-6.902438128713062	826214268796928
-6.902074927630526	736260473749504
-6.901711726547994	402764853149696
-6.901348525465458	168706315386880
-6.900985324382923	184649233989632
-6.900622123300391	312673619148800
-6.900258922217855	317758860427264
-6.899895721135323	125481764519936
-6.899532520052787	-116616952020992
-6.899169318970255	-211655988346880
-6.89880611788772	-115036404056064
-6.8984429168051875	45286135169024
-6.898079715722652	133384504344576
-6.897716514640116	156130651144192
-6.897353313557584	233714940379136
-6.896990112475049	427984901111808
-6.8966269113925165	631325832773632
-6.896263710309981	651254481027072
-6.895900509227449	412660457799680
-6.895537308144913	64115271794688
-6.895174107062381	-137507672948736
-6.8948109059798455	-62259845922816
-6.89444770489731	165339061026816
-6.894084503814778	276733332815872
-6.893721302732242	107889578475520
-6.89335810164971	-241411521773568
-6.8929949005671745	-483235360407552
-6.892631699484642	-381118217977856
-6.892268498402107	55456617725952
-6.891905297319575	579236469407744
-6.891542096237039	892872161230848
-6.891178895154503	857000594374656
-6.890815694071971	566454646734848
-6.890452492989436	262233523224576
-6.890089291906904	163827232538624
-6.889726090824368	336175680192512
-6.889362889741836	661905999921152
-6.8889996886593	920772268785664
-6.888636487576768	924757998436352
-6.888273286494233	636273635098624
-6.887910085411697	197362337185792
-6.887546884329165	-158467113353216
-6.887183683246629	-265119741247488
-6.886820482164097	-144448340099072
-6.886457281081562	7421703487488
-6.88609407999903	-27075473833984
-6.885730878916494	-310268437463040
-6.885367677833962	-686713731022848
-6.885004476751426	-893353197568000
-6.884641275668891	-754264976654336
-6.8842780745863585	-306213988335616
-6.883914873503823	238181706366976
-6.883551672421291	643695338586112
-6.883188471338755	790273982464000
-6.882825270256223	696609335672832
-6.8824620691736875	445714526109696
-6.8820988680911555	108714212196352
-6.88173566700862	-260790414213120
-6.881372465926084	-583909393825792
-6.881009264843552	-744300652527616
-6.8806460637610165	-651666797887488
-6.880282862678484	-329990927286272
-6.879919661595949	64596308131840
-6.879556460513417	340092690366464
-6.879193259430881	407781374951424
-6.878830058348349	343597383680000
-6.878466857265813	310749473800192
-6.878103656183278	407781374951424
-6.877740455100746	577862079873024
-6.87737725401821	663211669979136
-6.877014052935678	547419351678976
-6.876650851853142	251788162760704
-6.87628765077061	-103560251441152
-6.875924449688075	-424961244135424
-6.875561248605543	-722379139448832
-6.875198047523007	-1053950614700032
-6.874834846440475	-1395280255647744
-6.874471645357939	-1582403390799872
-6.874108444275404	-1414590428610560
-6.873745243192872	-842363345829888
-6.873382042110336	-64871186038784
-6.873018841027804	574700983943168
-6.872655639945268	823121892343808
-6.872292438862736	682590562418688
-6.871929237780201	369848223793152
-6.8715660366976685	119159572660224
-6.871202835615133	14431090114560
-6.870839634532597	-7078106103808
-6.870476433450065	-19172734009344
-6.87011323236753	-3779571220480
-6.8697500312849975	105759274696704
-6.869386830202462	293913201999872
-6.86902362911993	410598873497600
-6.868660428037394	282918085722112
-6.868297226954862	-104316165685248
-6.8679340258723265	-548037826969600
-6.867570824789791	-769383261536256
-6.867207623707259	-640671681609728
-6.866844422624723	-284979670024192
-6.866481221542191	41987600285696
-6.8661180204596555	171523813933056
-6.865754819377123	129123896786944
-6.865391618294588	45492293599232
-6.865028417212056	-12506944765952
-6.86466521612952	-100467874988032
-6.8643020150469845	-286354059558912
-6.863938813964452	-509761078427648
-6.863575612881917	-589200793534464
-6.863212411799385	-398572965068800
-6.862849210716849	-37658273251328
-6.862486009634317	198118251429888
-6.862122808551781	52226802319360
-6.861759607469249	-458977385119744
-6.861396406386714	-1036014831271936
-6.861033205304178	-1328072607399936
-6.860670004221646	-1200872855961600
-6.86030680313911	-806216901066752
-6.859943602056578	-411629665648640
-6.859580400974043	-168087840096256
-6.859217199891511	-33260226740224
-6.858853998808975	104522324115456
-6.858490797726443	253781027586048
-6.858127596643907	281612415664128
-6.857764395561372	49065706389504
-6.85740119447884	-424823805181952
-6.857037993396304	-937196223725568
-6.856674792313772	-1242448139386880
-6.856311591231236	-1234545399562240
-6.855948390148704	-1008458321100800
-6.8555851890661685	-759350217932800
-6.8552219879836365	-619574802251776
-6.854858786901101	-575731776094208
-6.854495585818565	-521649547902976
-6.854132384736033	-381118217977856
-6.8537691836534975	-181831735443456
-6.8534059825709654	-21028159881216
-6.85304278148843	37108517437440
-6.852679580405898	32091995635712
-6.852316379323362	75522704932864
-6.85195317824083	240655607529472
-6.851589977158294	469766342967296
-6.851226776075759	592568047894528
-6.850863574993227	460076896747520
-6.850500373910691	92977452023808
-6.850137172828159	-290889545023488
-6.849773971745623	-419326247043072
-6.849410770663091	-184443075559424
-6.849047569580556	241136643866624
-6.848684368498024	505912787730432
-6.848321167415488	338443422924800
-6.847957966332952	-236532438925312
-6.84759476525042	-903386241171456
-6.847231564167885	-1280999765835776
-6.846868363085353	-1186991521660928
-6.846505162002817	-735367120551936
-6.846141960920285	-210693915672576
-6.845778759837749	149533581377536
-6.845415558755217	284910950547456
-6.845052357672682	276939491246080
-6.844689156590146	227461467996160
-6.844325955507614	175646982537216
-6.843962754425078	103010495627264
-6.843599553342546	-21509196218368
-6.843236352260011	-218871533404160
-6.8428731511774785	-500209071161344
-6.842509950094943	-849441451933696
-6.842146749012411	-1179226220789760
-6.841783547929875	-1323330963505152
-6.84142034684734	-1125487589982208
-6.8410571457648075	-582053967953920
-6.840693944682272	90434831384576
-6.84033074359974	565080257200128
-6.839967542517204	631119674343424
-6.839604341434672	353974024667136
-6.8392411403521365	16080357556224
-6.838877939269604	-118609816846336
-6.838514738187069	-12438225289216
-6.838151537104533	150289495621632
-6.837788336022001	164926744166400
-6.8374251349394655	11063835754496
-6.837061933856933	-131735236902912
-6.836698732774398	-63428077027328
-6.836335531691866	233646220902400
-6.83597233060933	554291299352576
-6.835609129526798	623560531902464
-6.835245928444262	310337156939776
-6.834882727361727	-270617299386368
-6.834519526279195	-831093351645184
-6.834156325196659	-1086523646672896
-6.833793124114127	-915755746983936
-6.833429923031591	-414928200531968
-6.833066721949059	166988328468480
-6.832703520866524	570165498478592
-6.832340319783992	665891729571840
-6.831977118701456	520618755751936
-6.83161391761892	329784768856064
-6.831250716536388	257904196190208
-6.830887515453853	300578991243264
-6.830524314371321	292538812465152
-6.830161113288785	68444598829056
-6.829797912206253	-357135120596992
-6.829434711123717	-761961558048768
-6.829071510041185	-883320153964544
-6.8287083089586496	-640602962132992
-6.828345107876114	-210762635149312
-6.827981906793582	113868172951552
-6.827618705711046	154206505795584
-6.827255504628514	-47347719471104
-6.8268923035459785	-316865507229696
-6.8265291024634465	-520962353135616
-6.826165901380911	-645001008644096
-6.825802700298379	-723959687413760
-6.825439499215843	-741208276074496
-6.8250762981333075	-633662294982656
-6.8247130970507754	-398572965068800
-6.82434989596824	-161559489806336
-6.823986694885708	-93114890977280
-6.823623493803172	-235982683111424
-6.82326029272064	-428740815355904
-6.822897091638104	-431214716518400
-6.822533890555572	-151182848819200
-6.822170689473037	251719443283968
-6.821807488390501	496223341510656
-6.821444287307969	426816670007296
-6.821081086225433	142867792134144
-6.820717885142901	-109263968010240
-6.820354684060366	-164308268875776
-6.819991482977834	-64733747085312
-6.819628281895298	17179869184000
-6.819265080812766	-42606075576320
-6.81890187973023	-227324029042688
-6.818538678647695	-437880505761792
-6.818175477565163	-604868834230272
-6.817812276482627	-716744142356480
-6.817449075400095	-754814732468224
-6.817085874317559	-643832777539584
-6.816722673235027	-307176061009920
-6.816359472152492	219902325555200
-6.8159962710699595	756257841479680
-6.815633069987424	1081782002778112
-6.815269868904888	1096419251322880
-6.814906667822356	880777533325312
-6.814543466739821	604662675800064
-6.8141802656572885	383523399663616
-6.813817064574753	220864398229504
-6.813453863492221	66383014526976
-6.813090662409685	-101223789232128
-6.812727461327153	-263882790666240
-6.8123642602446175	-411286068264960
-6.812001059162082	-557314956328960
-6.81163785807955	-688019401080832
-6.811274656997014	-715232313868288
-6.810911455914482	-529552287727616
-6.8105482548319465	-131391639519232
-6.810185053749414	302984172929024
-6.809821852666879	527903020285952
-6.809458651584347	435406604599296
-6.809095450501811	160185100271616
-6.808732249419279	-40407052320768
-6.808369048336743	-25632364822528
-6.808005847254208	114830245625856
-6.807642646171676	191521181663232
-6.80727944508914	146235046494208
-6.806916244006608	119090853183488
-6.806553042924072	260652975259648
-6.80618984184154	492856087150592
-6.805826640759005	511204187439104
-6.805463439676473	83150566850560
-6.805100238593937	-639434731028480
-6.804737037511401	-1143492092887040
-6.804373836428869	-956231518781440
-6.804010635346334	-81157702025216
-6.803647434263802	951696033316864
-6.803284233181266	1493068071043072
-6.802921032098734	1286153726590976
-6.802557831016198	627614981029888
-6.802194629933666	57037165690880
-6.801831428851131	-110913235451904
-6.801468227768595	14431090114560
-6.801105026686063	105896713650176
-6.800741825603527	-29549374996480
-6.800378624520995	-301266186010624
-6.8000154234384595	-490244747034624
-6.7996522223559275	-494574074068992
-6.799289021273392	-396580100243456
-6.79892582019086	-317690140950528
-6.798562619108324	-258660110434304
-6.7981994180257885	-114692806672384
-6.7978362169432565	167606803759104
-6.797473015860721	493955598778368
-6.797109814778189	710421950496768
-6.796746613695653	779759902523392
-6.796383412613121	835903715016704
-6.796020211530585	1037938976620544
-6.795657010448053	1373496181522432
-6.795293809365518	1629957268701184
-6.794930608282982	1582953146613760
-6.79456740720045	1217090652471296
-6.794204206117914	755639366189056
-6.793841005035382	465093418549248
-6.793477803952847	426885389484032
-6.793114602870315	495192549359616
-6.792751401787779	465024699072512
-6.792388200705247	271854249967616
-6.792024999622711	29549374996480
-6.791661798540176	-103010495627264
-6.791298597457644	-76141180223488
-6.790935396375108	30992484007936
-6.790572195292576	115998476730368
-6.79020899421004	154962420039680
-6.789845793127508	196331545034752
-6.789482592044973	271991688921088
-6.7891193909624405	338168545017856
-6.788756189879905	311024351707136
-6.788392988797369	151114129342464
-6.788029787714837	-94695438942208
-6.787666586632302	-331159158390784
-6.7873033855497695	-482410726686720
-6.786940184467234	-524192168542208
-6.786576983384702	-468323233955840
-6.786213782302166	-338580861878272
-6.785850581219634	-168225279049728
-6.7854873801370985	-2542620639232
-6.785124179054563	121702193299456
-6.784760977972031	207395380789248
-6.784397776889495	293019848802304
-6.784034575806963	397404733964288
-6.7836713747244275	469079148199936
-6.783308173641895	409018325532672
-6.78294497255936	170218143875072
-6.782581771476828	-162521562480640
-6.782218570394292	-410942470881280
-6.7818553693117565	-449013060993024
-6.781492168229224	-319751725252608
-6.781128967146689	-197705934569472
-6.780765766064157	-217909460729856
-6.780402564981621	-337206472343552
-6.780039363899089	-375689379315712
-6.779676162816553	-209456965091328
-6.779312961734021	77446850281472
-6.778949760651486	247939872063488
-6.77858655956895	137026636611584
-6.778223358486418	-168019120619520
-6.777860157403882	-376651451990016
-6.77749695632135	-242717191831552
-6.777133755238815	216328912764928
-6.776770554156283	733099377819648
-6.776407353073747	1017116975169536
-6.776044151991215	980420774592512
-6.775680950908679	759625095839744
-6.775317749826144	539104294993920
-6.774954548743612	369298467979264
-6.774591347661076	158260954923008
-6.774228146578544	-173585398235136
-6.773864945496008	-556352883654656
-6.773501744413476	-798657758625792
-6.773138543330941	-757426072584192
-6.7727753422484085	-471965366222848
-6.772412141165873	-128436702019584
-6.772048940083337	104865921499136
-6.771685739000805	203478370615296
-6.7713225379182695	254811819737088
-6.7709593368357375	319614286299136
-6.770596135753202	346140004319232
-6.77023293467067	235020610437120
-6.769869733588134	-16355235463168
-6.769506532505602	-254193344446464
-6.7691433314230665	-275084065374208
-6.768780130340531	-11338713661440
-6.768416929257999	387096812453888
-6.768053728175463	660050574049280
-6.767690527092931	641771193237504
-6.767327326010395	377750963617792
-6.766964124927863	56281251446784
-6.766600923845328	-165270341550080
-6.766237722762796	-270136263049216
-6.76587452168026	-338374703448064
-6.765511320597724	-422075026112512
-6.765148119515192	-484747188895744
-6.764784918432657	-463719029014528
-6.764421717350125	-368817431642112
-6.764058516267589	-288621802291200
-6.763695315185057	-282711927291904
-6.763332114102521	-283124244152320
-6.762968913019989	-139363098820608
-6.762605711937454	207051783405568
-6.762242510854918	591949572603904
-6.761879309772386	706161342939136
-6.76151610868985	354867377864704
-6.761152907607318	-331571475251200
-6.760789706524783	-951902191747072
-6.7604265054422505	-1142804898119680
-6.760063304359715	-880090338557952
-6.759700103277183	-494780232499200
-6.759336902194647	-374864745594880
-6.758973701112112	-614077244112896
-6.7586105000295795	-928468850180096
-6.758247298947044	-919329159774208
-6.757884097864512	-443652941807616
-6.757520896781976	243198228168704
-6.757157695699444	702794088579072
-6.7567944946169085	684995744104448
-6.756431293534376	327310867693568
-6.756068092451841	17660905521152
-6.755704891369305	62878321213440
-6.755341690286773	458358909829120
-6.7549784892042375	936783906865152
-6.754615288121705	1211730533285888
-6.75425208703917	1183899145207808
-6.753888885956638	952451947560960
-6.753525684874102	674619103117312
-6.75316248379157	437262030471168
-6.752799282709034	248214749970432
-6.752436081626499	107271103184896
-6.752072880543967	48653389529088
-6.751709679461431	101910983999488
-6.751346478378899	228629699100672
-6.750983277296363	325111844438016
-6.750620076213831	305595513044992
-6.750256875131296	183481002885120
-6.749893674048764	67070209294336
-6.749530472966228	64871186038784
-6.749167271883692	187810329919488
-6.74880407080116	338031106064384
-6.748440869718625	391013822627840
-6.748077668636093	293844482523136
-6.747714467553557	98543729639424
-6.747351266471025	-89610197663744
-6.746988065388489	-195300752883712
-6.746624864305957	-218802813927424
-6.746261663223422	-218321777590272
-6.7458984621408895	-252337918574592
-6.745535261058354	-329853488332800
-6.745172059975818	-400703268847616
-6.744808858893286	-388471201988608
-6.744445657810751	-244847495610368
-6.7440824567282185	11819749998592
-6.743719255645683	300235393859584
-6.743356054563151	524123449065472
-6.742992853480615	633043819692032
-6.742629652398083	647681068236800
-6.7422664513155475	629470406901760
-6.741903250233012	622529739751424
-6.74154004915048	620468155449344
-6.741176848067944	592155731034112
-6.740813646985412	536011918540800
-6.7404504459028765	502614252847104
-6.740087244820344	551198922899456
-6.739724043737809	678123796430848
-6.739360842655277	790961177231360
-6.738997641572741	769177103106048
-6.738634440490205	568584950513664
-6.738271239407673	282024732524544
-6.737908038325138	93527207837696
-6.737544837242606	156749126434816
-6.73718163616007	483853835698176
-6.736818435077538	926750863261696
-6.736455233995002	1258459777466368
-6.73609203291247	1300653536182272
-6.735728831829935	1019041120518144
-6.735365630747399	539928928714752
-6.735002429664867	83906481094656
-6.734639228582331	-148915106086912
-6.734276027499799	-81088982548480
-6.733912826417264	208838489800704
-6.733549625334732	546869595865088
-6.733186424252196	778454232465408
-6.732823223169664	854251815305216
-6.732460022087128	820235674320896
-6.732096821004593	728838770262016
-6.7317336199220605	563637148188672
-6.731370418839525	260171938922496
-6.731007217756993	-191246303756288
-6.730644016674457	-670633373466624
-6.730280815591925	-975816569651200
-6.7299176145093895	-972105717907456
-6.7295544134268575	-708360366194688
-6.729191212344322	-383660838617088
-6.728828011261786	-187466732535808
-6.728464810179254	-161422050852864
-6.7281016090967185	-211037513056256
-6.727738408014186	-240586888052736
-6.727375206931651	-258934988341248
-6.727012005849119	-338580861878272
-6.726648804766583	-478562435989504
-6.726285603684051	-539928928714752
-6.725922402601515	-358440790654976
-6.72555920151898	57999238365184
-6.725196000436448	458565068259328
-6.724832799353912	516770465054720
-6.72446959827138	116960549404672
-6.724106397188844	-505500470870016
-6.723743196106312	-919672757157888
-6.723379995023777	-835697556586496
-6.723016793941245	-331708914204672
-6.722653592858709	223063421485056
-6.722290391776173	475195181629440
-6.721927190693641	348682624958464
-6.721563989611106	47553877901312
-6.721200788528574	-169256071200768
-6.720837587446038	-215572998520832
-6.720474386363506	-209594404044800
-6.72011118528097	-311299229614080
-6.719747984198438	-541784354586624
-6.719384783115903	-750622844387328
-6.719021582033367	-744163213574144
-6.718658380950835	-446814037737472
-6.718295179868299	37726992728064
-6.717931978785767	499521876393984
-6.717568777703232	752684428689408
-6.7172055766206995	732480902529024
-6.716842375538164	514434002845696
-6.716479174455632	264776143863808
-6.716115973373096	154343944749056
-6.715752772290561	269861385142272
-6.7153895712080285	566523366211584
-6.715026370125493	892047527510016
-6.714663169042961	1079651698999296
-6.714299967960425	1049002812375040
-6.713936766877893	840233042051072
-6.7135735657953575	558483187433472
-6.713210364712825	286491498512384
-6.71284716363029	50921132261376
-6.712483962547754	-135308649693184
-6.712120761465222	-218734094450688
-6.7117575603826864	-122939143880704
-6.711394359300154	156955284865024
-6.711031158217619	482067129303040
-6.710667957135087	622323581321216
-6.710304756052551	426198194716672
-6.709941554970019	-27144193310720
-6.709578353887483	-442415991226368
-6.709215152804948	-502064497033216
-6.708851951722416	-99643241267200
-6.70848875063988	575182020280320
-6.708125549557348	1165413605965824
-6.707762348474812	1383941541986304
-6.70739914739228	1179638537650176
-6.707035946309745	726502308052992
-6.706672745227213	277901563920384
-6.706309544144677	16630113370112
-6.705946343062141	-2336462209024
-6.705583141979609	182037893873664
-6.705219940897074	492718648197120
-6.7048567398145416	834185728098304
-6.704493538732006	1086592366149632
-6.704130337649474	1118615642308608
-6.703767136566938	847792184492032
-6.703403935484406	315697276125184
-6.7030407344018705	-289308997058560
-6.702677533319335	-705061831311360
-6.702314332236803	-738940533342208
-6.701951131154267	-395136991232000
-6.701587930071735	110363479638016
-6.7012247289891995	473752072617984
-6.7008615279066674	494161757208576
-6.700498326824132	200935749976064
-6.7001351257416	-179838870618112
-6.699771924659064	-399260159836160
-6.6994087235765285	-370191821176832
-6.699045522493996	-218046899683328
-6.698682321411461	-159497905504256
-6.698319120328929	-308413011591168
-6.697955919246393	-573738911268864
-6.697592718163861	-730831635087360
-6.697229517081325	-607205296439296
-6.696866315998793	-226155797938176
-6.696503114916258	205471235440640
-6.696139913833722	448325866225664
-6.69577671275119	398985281929216
-6.695413511668654	150289495621632
-6.695050310586122	-84112639524864
-6.694687109503587	-116204635160576
-6.694323908421055	102117142429696
-6.693960707338519	458358909829120
-6.693597506255987	754608574038016
-6.693234305173451	831024632168448
-6.692871104090916	666372765908992
-6.692507903008384	393968760127488
-6.692144701925848	211999585730560
-6.691781500843316	239624815378432
-6.69141829976078	424205329891328
-6.691055098678248	580335981035520
-6.690691897595713	545151608946688
-6.6903286965131805	320851236880384
-6.689965495430645	77171972374528
-6.689602294348109	1717986918400
-6.689239093265577	131666517426176
-6.688875892183042	324287210717184
-6.6885126911005095	397404733964288
-6.688149490017974	304221123510272
-6.687786288935442	172760764514304
-6.687423087852906	172829483991040
-6.687059886770374	346483601702912
-6.6866966856878385	570234217955328
-6.686333484605303	680322819686400
-6.685970283522771	623148215042048
-6.685607082440235	478768594419712
-6.685243881357703	345933845889024
-6.6848806802751675	230416405495808
-6.684517479192635	64390149701632
-6.6841542781101	-170493021782016
-6.683791077027568	-370810296467456
-6.683427875945032	-389639433093120
-6.6830646748624964	-193651485442048
-6.682701473779964	76141180223488
-6.682338272697429	221414154043392
-6.681975071614897	165476499980288
