x	y
-6.907472944982917	-201322297032704
-6.907109743900364	-172253958373376
-6.906746542817814	-51900384804864
-6.906383341735264	61383672594432
-6.906020140652711	77816217468928
-6.905656939570161	-8358006358016
-6.905293738487611	-122380798132224
-6.904930537405058	-182699318837248
-6.904567336322508	-168869524144128
-6.904204135239958	-120456652783616
-6.9038409341574045	-80032420593664
-6.903477733074855	-49718541418496
-6.903114531992305	-7267084664832
-6.9027513309097515	44985487458304
-6.902388129827202	64158221467648
-6.902024928744652	9629316677632
-6.901661727662098	-101936753803264
-6.901298526579549	-197370927120384
-6.900935325496999	-212789859713024
-6.900572124414445	-158183645511680
-6.9002089233318955	-108104326840320
-6.899845722249342	-121822452383744
-6.899482521166792	-175715702013952
-6.8991193200842424	-183781650595840
-6.898756119001689	-91817810853888
-6.898392917919139	50998441672704
-6.898029716836589	123085172768768
-6.897666515754036	41403484733440
-6.897303314671486	-154455613898752
-6.896940113588936	-329552840622080
-6.896576912506383	-368826021576704
-6.896213711423833	-271046796115968
-6.895850510341283	-136416751255552
-6.89548730925873	-67250597920768
-6.89512410817618	-82119774699520
-6.89476090709363	-121152437485568
-6.894397706011077	-123188251983872
-6.894034504928527	-88175678586880
-6.893671303845977	-64261300682752
-6.893308102763424	-83382495084544
-6.892944901680874	-121350005981184
-6.892581700598324	-124906238902272
-6.892218499515771	-73143293050880
-6.891855298433221	-4526895529984
-6.891492097350671	19069654794240
-6.891128896268118	-27693949124608
-6.890765695185568	-111600430219264
-6.890402494103018	-175157356265472
-6.890039293020465	-187690070835200
-6.889676091937915	-161198712553472
-6.889312890855365	-123239791591424
-6.8889496897728115	-84533546319872
-6.888586488690262	-38732015075328
-6.888223287607712	11510512353280
-6.8878600865251585	40278203301888
-6.887496885442609	18906446036992
-6.887133684360059	-49572512530432
-6.886770483277505	-124141734723584
-6.886407282194956	-160760625889280
-6.886044081112406	-154429844094976
-6.885680880029852	-141785460375552
-6.8853176789473025	-157410551398400
-6.884954477864753	-188282776322048
-6.884591276782199	-177459458736128
-6.8842280756996495	-80161269612544
-6.883864874617096	80908593922048
