x	y
-6.9068529599427	-6043824291840
-6.906489758859923	-5396089536512
-6.906126557777142	-4780567035904
-6.905763356694365	-4036329734144
-6.905400155611584	-2047491440640
-6.9050369545288035	1619471106048
-6.904673753446026	5559835164672
-6.9043105523632455	7278761607168
-6.903947351280468	5251671261184
-6.903584150197688	266422190080
-6.903220949114907	-5251537043456
-6.90285774803213	-9173781708800
-6.902494546949349	-10898613731328
-6.902131345866572	-10870293790720
-6.901768144783791	-9346654142464
-6.90140494370101	-6141937451008
-6.901041742618233	-1739998625792
-6.900678541535452	1738253795328
-6.900315340452675	1445390712832
-6.899952139369894	-3661325402112
-6.899588938287117	-11054440513536
-6.899225737204336	-15856213950464
-6.898862536121555	-14581145534464
-6.898499335038778	-8263651295232
-6.8981361339559975	-1965752844288
-6.89777293287322	-761954041856
-6.8974097317904395	-5536078626816
-6.897046530707659	-12227235020800
-6.8966833296248815	-15159758159872
-6.896320128542101	-11560709783552
-6.8959569274593235	-3513685901312
-6.895593726376543	3986400739328
-6.895230525293762	6904831016960
-6.894867324210985	4746341515264
-6.894504123128204	193810399232
-6.894140922045427	-3267262152704
-6.893777720962646	-3595021844480
-6.893414519879865	-943416410112
-6.893051318797088	2933731098624
-6.892688117714307	5761027538944
-6.89232491663153	5749484814336
-6.891961715548749	2427461828608
-6.891598514465969	-2915745923072
-6.891235313383191	-7656047640576
-6.890872112300411	-9291356438528
-6.890508911217633	-7156220821504
-6.890145710134853	-3031173169152
-6.889782509052072	59458453504
-6.889419307969295	72880226304
-6.889056106886514	-2571745886208
-6.888692905803737	-5441052475392
-6.888329704720956	-6027986599936
-6.887966503638179	-3552877477888
-6.887603302555398	699811233792
-6.887240101472617	4482603679744
-6.88687690038984	6034831704064
-6.886513699307059	4859755495424
-6.886150498224282	1644167168000
-6.885787297141501	-2252173475840
-6.8854240960587205	-5345892106240
-6.885060894975943	-6566199689216
-6.8846976938931626	-5738076307456
-6.884334492810385	-3730044878848
-6.883971291727605	-1984945979392
-6.883608090644824	-1610478518272
-6.883244889562047	-2704621436928
-6.882881688479266	-4470524084224
-6.882518487396489	-5976312774656
-6.882155286313708	-6846983176192
-6.881792085230927	-7324798287872
-6.88142888414815	-7826504155136
-6.881065683065369	-8545776959488
-6.880702481982592	-9396046266368
-6.880339280899811	-10113305804800
-6.87997607981703	-10278125174784
-6.879612878734253	-9406649466880
-6.879249677651472	-7388014837760
-6.878886476568695	-5024037994496
-6.8785232754859145	-3859296550912
-6.878160074403134	-4890894008320
-6.8777968733203565	-7072603176960
-6.877433672237576	-7387343749120
-6.8770704711547985	-3208877441024
-6.876707270072018	4722450759680
-6.8763440689892406	11731837386752
-6.87598086790646	12415274057728
-6.875617666823679	5370990821376
-6.875254465740902	-4883780468736
-6.874891264658121	-11122488901632
-6.874528063575344	-9353499246592
-6.874164862492563	-2195667812352
-6.873801661409782	3559454146560
-6.873438460327005	3027012419584
-6.873075259244224	-2721935523840
-6.872712058161447	-8335994650624
-6.872348857078666	-9631732596736
-6.871985655995886	-7243193909248
-6.871622454913108	-4993839005696
-6.871259253830328	-5129935781888
-6.87089605274755	-5805990477824
-6.87053285166477	-3624147091456
-6.870169650581989	1644972474368
-6.869806449499212	5655666622464
-6.869443248416431	3487781879808
-6.869080047333654	-4803115614208
-6.868716846250873	-13076430585856
-6.868353645168092	-14192853647360
-6.867990444085315	-6679747887104
-6.867627243002534	3549119381504
-6.867264041919757	8253182312448
-6.866900840836976	3945330114560
-6.8665376397541955	-5588289323008
-6.866174438671418	-13262859010048
-6.8658112375886375	-14851594256384
-6.86544803650586	-11463938801664
-6.86508483542308	-6813965615104
-6.864721634340302	-3041642151936
-6.864358433257522	391915765760
-6.863995232174741	4293088247808
-6.863632031091964	7419153350656
-6.863268830009183	7395531030528
-6.862905628926406	3827889602560
-6.862542427843625	-308432338944
-6.862179226760844	-1125147213824
-6.861816025678067	2241301839872
-6.861452824595286	6558146625536
-6.861089623512509	7727317254144
-6.860726422429728	5031688404992
-6.860363221346947	1839453962240
-6.86000002026417	1946559709184
-6.8596368191813895	5462527311872
-6.859273618098612	8679189381120
-6.8589104170158315	8042460479488
-6.858547215933051	3879697645568
-6.8581840148502735	-190052302848
-6.857820813767493	-1451430510592
-6.8574576126847155	-1144474566656
-6.857094411601935	-2826625351680
-6.856731210519154	-7736175624192
-6.856368009436377	-12410442219520
-6.856004808353596	-11662849474560
-6.855641607270819	-4245977825280
-6.855278406188038	4732382871552
-6.854915205105257	7657255600128
-6.85455200402248	1244735209472
-6.854188802939699	-10156926566400
-6.853825601856922	-18114964094976
-6.853462400774141	-17288182890496
-6.853099199691361	-9621934702592
-6.852735998608583	-1948438757376
-6.852372797525803	368159227904
-6.852009596443025	-2290828181504
-6.851646395360245	-5154094972928
-6.8512831942774675	-4106794041344
-6.850919993194687	609885356032
-6.850556792111906	5169261576192
-6.850193591029129	6027449729024
-6.849830389946348	2954803281920
-6.849467188863571	-1272115625984
-6.84910398778079	-3595558715392
-6.848740786698009	-2980170432512
-6.848377585615232	-506671923200
-6.848014384532451	2131109085184
-6.847651183449674	3908286021632
-6.847287982366893	4536424988672
-6.8469247812841125	3872181452800
-6.846561580201335	1759594414080
-6.8461983791185546	-1425660706816
-6.845835178035777	-4312147165184
-6.845471976952997	-5024574865408
-6.845108775870216	-2566914048000
-6.844745574787439	1996488704000
-6.844382373704658	5768409513984
-6.844019172621881	5874978390016
-6.8436559715391	1817442254848
-6.843292770456319	-3523886448640
-6.842929569373542	-5406826954752
-6.842566368290761	-632970805248
-6.842203167207984	9520197664768
-6.841839966125203	19374329036800
-6.841476765042422	22452881063936
-6.841113563959645	16244774273024
-6.840750362876864	4370666094592
-6.840387161794087	-5878333833216
-6.8400239607113065	-8939034902528
-6.839660759628529	-4993302134784
-6.8392975585457485	678470615040
-6.838934357462968	2334314725376
-6.8385711563801905	-1684700921856
-6.83820795529741	-8291702800384
-6.837844754214633	-12983149264896
-6.837481553131852	-13760940998656
-6.837118352049071	-12146033295360
-6.836755150966294	-10957401096192
-6.836391949883513	-11564467879936
-6.836028748800736	-13287286636544
-6.835665547717955	-14903268081664
-6.835302346635174	-16012846039040
-6.834939145552397	-16658567528448
-6.834575944469616	-16099819126784
-6.834212743386839	-12877519912960
-6.833849542304058	-6705920344064
-6.833486341221278	-101871255552
-6.8331231401385	2732404506624
-6.83275993905572	-466943475712
-6.8323967379729424	-7223061250048
-6.832033536890162	-11563125702656
-6.831670335807381	-8868839030784
-6.831307134724604	-142807662592
-6.830943933641823	8387131604992
-6.830580732559046	10260811087872
-6.830217531476265	4038879870976
-6.829854330393484	-5757403660288
-6.829491129310707	-12616197996544
-6.829127928227926	-13171456737280
-6.828764727145149	-9122242101248
-6.828401526062368	-4843649368064
-6.828038324979591	-3418122878976
-6.82767512389681	-4626619301888
-6.8273119228140295	-6032952655872
-6.826948721731252	-5450179280896
-6.826585520648472	-2460882042880
-6.826222319565694	1783216734208
-6.825859118482914	5594329120768
-6.825495917400133	7547062845440
-6.825132716317356	6867652706304
-6.824769515234575	3736353112064
-6.824406314151798	-576733577216
-6.824043113069017	-4234166665216
-6.823679911986236	-6003424755712
-6.823316710903459	-6135092346880
-6.822953509820678	-5931081400320
-6.822590308737901	-6228239450112
-6.82222710765512	-6335479414784
-6.821863906572339	-4714263478272
-6.821500705489562	-885837004800
-6.8211375044067815	3444966424576
-6.820774303324004	5482257317888
-6.8204111022412235	3816883748864
-6.820047901158443	-130191196160
-6.8196847000756655	-3245787316224
-6.819321498992885	-3445503295488
-6.8189582979101075	-1371034091520
-6.818595096827327	515932946432
-6.818231895744546	412316860416
-6.817868694661769	-1273860456448
-6.817505493578988	-2666772037632
-6.817142292496211	-2417261281280
-6.81677909141343	-781012959232
-6.816415890330653	1144474566656
-6.816052689247872	2859642912768
-6.815689488165091	4816671604736
-6.815326287082314	7367211089920
-6.814963085999533	9721121603584
-6.814599884916756	10347918393344
-6.814236683833975	8541616209920
-6.813873482751195	5408034914304
-6.813510281668417	3032112693248
-6.813147080585637	2546110300160
-6.8127838795028595	3078283591680
-6.812420678420079	2716969467904
-6.812057477337298	532307509248
-6.811694276254521	-2401155153920
-6.81133107517174	-3987206045696
-6.810967874088963	-3053050658816
-6.810604673006182	-317290708992
-6.810241471923401	2452426326016
-6.809878270840624	4060623142912
-6.809515069757843	4616016101376
-6.809151868675066	4842172973056
-6.808788667592285	4978001313792
-6.8084254665095045	4563268534272
-6.808062265426727	3248203235328
-6.807699064343947	1526726656000
-6.807335863261169	396210733056
-6.806972662178389	225754218496
-6.806609461095608	130459631616
-6.806246260012831	-1263794126848
-6.80588305893005	-4242488164352
-6.805519857847273	-7180648448000
-6.805156656764492	-7502770995200
-6.804793455681711	-3823594635264
-6.804430254598934	2521414238208
-6.804067053516153	7985015291904
-6.803703852433376	9150964695040
-6.803340651350595	5189528453120
-6.802977450267818	-1458275614720
-6.802614249185037	-6742561783808
-6.8022510481022564	-7825564631040
-6.801887847019479	-5000818327552
-6.8015246459366985	-1297080123392
-6.801161444853921	-67645734912
-6.8007982437711405	-2394310049792
-6.80043504268836	-6300314370048
-6.8000718416055825	-8385655209984
-6.799708640522802	-6582976905216
-6.799345439440025	-1815160553472
-6.798982238357244	2774146220032
-6.798619037274463	4331877171200
-6.798255836191686	2430548836352
-6.797892635108905	-898721906688
-6.797529434026128	-3078552027136
