[Measurement conditions]
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.76mm
Monochromator used,NO
Generator voltage, 40
Tube current, 15
File date and time,10/Sep/2026 12:41
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,4.996000000,65.000702560
Scan step size,0.0054332
No. of points, 11044
Scan type,CONTINUOUS
Time per step,8.670
[Scan points]
Angle, TimePerStep, Intensity, ESD
4.998716620, 8.670, 956.0, 30.9192
5.004149860, 8.670, 910.0, 30.1662
5.009583100, 8.670, 879.0, 29.6479
5.015016340, 8.670, 903.0, 30.0500
5.020449580, 8.670, 885.0, 29.7489
5.025882820, 8.670, 916.0, 30.2655
5.031316060, 8.670, 885.0, 29.7489
5.036749300, 8.670, 859.0, 29.3087
5.042182540, 8.670, 913.0, 30.2159
5.047615780, 8.670, 896.0, 29.9333
5.053049020, 8.670, 830.0, 28.8097
5.058482260, 8.670, 827.0, 28.7576
5.063915500, 8.670, 871.0, 29.5127
5.069348740, 8.670, 871.0, 29.5127
5.074781980, 8.670, 792.0, 28.1425
5.080215220, 8.670, 879.0, 29.6479
5.085648460, 8.670, 845.0, 29.0689
5.091081700, 8.670, 863.0, 29.3769
5.096514940, 8.670, 813.0, 28.5132
5.101948180, 8.670, 849.0, 29.1376
5.107381420, 8.670, 786.0, 28.0357
5.112814660, 8.670, 827.0, 28.7576
5.118247900, 8.670, 829.0, 28.7924
5.123681140, 8.670, 857.0, 29.2746
5.129114380, 8.670, 863.0, 29.3769
5.134547620, 8.670, 836.0, 28.9137
5.139980860, 8.670, 818.0, 28.6007
5.145414100, 8.670, 798.0, 28.2489
5.150847340, 8.670, 835.0, 28.8964
5.156280580, 8.670, 801.0, 28.3019
5.161713820, 8.670, 815.0, 28.5482
5.167147060, 8.670, 786.0, 28.0357
5.172580300, 8.670, 766.0, 27.6767
5.178013540, 8.670, 780.0, 27.9285
5.183446780, 8.670, 837.0, 28.9310
5.188880020, 8.670, 815.0, 28.5482
5.194313260, 8.670, 740.0, 27.2029
5.199746500, 8.670, 767.0, 27.6948
5.205179740, 8.670, 788.0, 28.0713
5.210612980, 8.670, 779.0, 27.9106
5.216046220, 8.670, 718.0, 26.7955
5.221479460, 8.670, 744.0, 27.2764
5.226912700, 8.670, 748.0, 27.3496
5.232345940, 8.670, 801.0, 28.3019
5.237779180, 8.670, 796.0, 28.2135
5.243212420, 8.670, 758.0, 27.5318
5.248645660, 8.670, 731.0, 27.0370
5.254078900, 8.670, 713.0, 26.7021
5.259512140, 8.670, 749.0, 27.3679
5.264945380, 8.670, 761.0, 27.5862
5.270378620, 8.670, 743.0, 27.2580
5.275811860, 8.670, 779.0, 27.9106
5.281245100, 8.670, 735.0, 27.1109
5.286678340, 8.670, 744.0, 27.2764
5.292111580, 8.670, 781.0, 27.9464
5.297544820, 8.670, 737.0, 27.1477
5.302978060, 8.670, 763.0, 27.6225
5.308411300, 8.670, 705.0, 26.5518
5.313844540, 8.670, 693.0, 26.3249
5.319277780, 8.670, 791.0, 28.1247
5.324711020, 8.670, 742.0, 27.2397
5.330144260, 8.670, 783.0, 27.9821
5.335577500, 8.670, 755.0, 27.4773
5.341010740, 8.670, 727.0, 26.9629
5.346443980, 8.670, 721.0, 26.8514
