[Measurement conditions]
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.76mm
Monochromator used,NO
Generator voltage, 40
Tube current, 15
File date and time,10/Sep/2026 13:09
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,4.996000000,65.000702560
Scan step size,0.0054332
No. of points, 11044
Scan type,CONTINUOUS
Time per step,8.670
[Scan points]
Angle, TimePerStep, Intensity, ESD
4.998716620, 8.670, 1026.0, 32.0312
5.004149860, 8.670, 1008.0, 31.7490
5.009583100, 8.670, 992.0, 31.4960
5.015016340, 8.670, 1008.0, 31.7490
5.020449580, 8.670, 990.0, 31.4643
5.025882820, 8.670, 978.0, 31.2730
5.031316060, 8.670, 993.0, 31.5119
5.036749300, 8.670, 904.0, 30.0666
5.042182540, 8.670, 891.0, 29.8496
5.047615780, 8.670, 849.0, 29.1376
5.053049020, 8.670, 849.0, 29.1376
5.058482260, 8.670, 840.0, 28.9828
5.063915500, 8.670, 793.0, 28.1603
5.069348740, 8.670, 857.0, 29.2746
5.074781980, 8.670, 779.0, 27.9106
5.080215220, 8.670, 779.0, 27.9106
5.085648460, 8.670, 748.0, 27.3496
5.091081700, 8.670, 770.0, 27.7489
5.096514940, 8.670, 721.0, 26.8514
5.101948180, 8.670, 752.0, 27.4226
5.107381420, 8.670, 743.0, 27.2580
5.112814660, 8.670, 718.0, 26.7955
5.118247900, 8.670, 733.0, 27.0740
5.123681140, 8.670, 708.0, 26.6083
5.129114380, 8.670, 673.0, 25.9422
5.134547620, 8.670, 716.0, 26.7582
5.139980860, 8.670, 711.0, 26.6646
5.145414100, 8.670, 642.0, 25.3377
5.150847340, 8.670, 672.0, 25.9230
5.156280580, 8.670, 641.0, 25.3180
5.161713820, 8.670, 654.0, 25.5734
5.167147060, 8.670, 683.0, 26.1343
5.172580300, 8.670, 685.0, 26.1725
5.178013540, 8.670, 660.0, 25.6905
5.183446780, 8.670, 657.0, 25.6320
5.188880020, 8.670, 675.0, 25.9808
5.194313260, 8.670, 680.0, 26.0768
5.199746500, 8.670, 654.0, 25.5734
5.205179740, 8.670, 686.0, 26.1916
5.210612980, 8.670, 673.0, 25.9422
5.216046220, 8.670, 666.0, 25.8070
5.221479460, 8.670, 640.0, 25.2982
5.226912700, 8.670, 633.0, 25.1595
5.232345940, 8.670, 704.0, 26.5330
5.237779180, 8.670, 632.0, 25.1396
5.243212420, 8.670, 677.0, 26.0192
5.248645660, 8.670, 661.0, 25.7099
5.254078900, 8.670, 586.0, 24.2074
5.259512140, 8.670, 665.0, 25.7876
5.264945380, 8.670, 614.0, 24.7790
5.270378620, 8.670, 612.0, 24.7386
5.275811860, 8.670, 668.0, 25.8457
5.281245100, 8.670, 623.0, 24.9600
5.286678340, 8.670, 638.0, 25.2587
5.292111580, 8.670, 626.0, 25.0200
5.297544820, 8.670, 618.0, 24.8596
5.302978060, 8.670, 600.0, 24.4949
5.308411300, 8.670, 649.0, 25.4755
5.313844540, 8.670, 603.0, 24.5561
