[Measurement conditions]
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.76mm
Monochromator used,NO
Generator voltage, 40
Tube current, 15
File date and time,10/Sep/2026 13:26
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,4.996000000,65.000702560
Scan step size,0.0054332
No. of points, 11044
Scan type,CONTINUOUS
Time per step,8.670
[Scan points]
Angle, TimePerStep, Intensity, ESD
4.998716620, 8.670, 699.0, 26.4386
5.004149860, 8.670, 731.0, 27.0370
5.009583100, 8.670, 699.0, 26.4386
5.015016340, 8.670, 712.0, 26.6833
5.020449580, 8.670, 728.0, 26.9815
5.025882820, 8.670, 720.0, 26.8328
5.031316060, 8.670, 751.0, 27.4044
5.036749300, 8.670, 689.0, 26.2488
5.042182540, 8.670, 716.0, 26.7582
5.047615780, 8.670, 705.0, 26.5518
5.053049020, 8.670, 683.0, 26.1343
5.058482260, 8.670, 684.0, 26.1534
5.063915500, 8.670, 694.0, 26.3439
5.069348740, 8.670, 648.0, 25.4558
5.074781980, 8.670, 718.0, 26.7955
5.080215220, 8.670, 654.0, 25.5734
5.085648460, 8.670, 691.0, 26.2869
5.091081700, 8.670, 674.0, 25.9615
5.096514940, 8.670, 655.0, 25.5930
5.101948180, 8.670, 678.0, 26.0384
5.107381420, 8.670, 704.0, 26.5330
5.112814660, 8.670, 639.0, 25.2784
5.118247900, 8.670, 685.0, 26.1725
5.123681140, 8.670, 656.0, 25.6125
5.129114380, 8.670, 672.0, 25.9230
5.134547620, 8.670, 662.0, 25.7294
5.139980860, 8.670, 641.0, 25.3180
5.145414100, 8.670, 628.0, 25.0599
5.150847340, 8.670, 656.0, 25.6125
5.156280580, 8.670, 655.0, 25.5930
5.161713820, 8.670, 680.0, 26.0768
5.167147060, 8.670, 588.0, 24.2487
5.172580300, 8.670, 612.0, 24.7386
5.178013540, 8.670, 678.0, 26.0384
5.183446780, 8.670, 588.0, 24.2487
5.188880020, 8.670, 663.0, 25.7488
5.194313260, 8.670, 680.0, 26.0768
5.199746500, 8.670, 661.0, 25.7099
5.205179740, 8.670, 632.0, 25.1396
5.210612980, 8.670, 620.0, 24.8998
5.216046220, 8.670, 586.0, 24.2074
5.221479460, 8.670, 640.0, 25.2982
5.226912700, 8.670, 626.0, 25.0200
5.232345940, 8.670, 608.0, 24.6577
5.237779180, 8.670, 621.0, 24.9199
5.243212420, 8.670, 591.0, 24.3105
5.248645660, 8.670, 582.0, 24.1247
5.254078900, 8.670, 576.0, 24.0000
5.259512140, 8.670, 606.0, 24.6171
5.264945380, 8.670, 585.0, 24.1868
5.270378620, 8.670, 605.0, 24.5967
5.275811860, 8.670, 585.0, 24.1868
5.281245100, 8.670, 584.0, 24.1661
5.286678340, 8.670, 606.0, 24.6171
5.292111580, 8.670, 585.0, 24.1868
5.297544820, 8.670, 622.0, 24.9399
5.302978060, 8.670, 622.0, 24.9399
5.308411300, 8.670, 609.0, 24.6779
5.313844540, 8.670, 577.0, 24.0208
5.319277780, 8.670, 586.0, 24.2074
5.324711020, 8.670, 621.0, 24.9199
5.330144260, 8.670, 588.0, 24.2487
5.335577500, 8.670, 627.0, 25.0400
5.341010740, 8.670, 569.0, 23.8537
5.346443980, 8.670, 595.0, 24.3926
5.351877220, 8.670, 543.0, 23.3024
5.357310460, 8.670, 589.0, 24.2693
5.362743700, 8.670, 565.0, 23.7697
5.368176940, 8.670, 533.0, 23.0868
5.373610180, 8.670, 523.0, 22.8692
5.379043420, 8.670, 550.0, 23.4521
5.384476660, 8.670, 523.0, 22.8692
5.389909900, 8.670, 519.0, 22.7816
5.395343140, 8.670, 589.0, 24.2693
5.400776380, 8.670, 571.0, 23.8956
5.406209620, 8.670, 544.0, 23.3238
5.411642860, 8.670, 597.0, 24.4336
5.417076100, 8.670, 531.0, 23.0434
5.422509340, 8.670, 537.0, 23.1733
5.427942580, 8.670, 541.0, 23.2594
5.433375820, 8.670, 528.0, 22.9783
5.438809060, 8.670, 586.0, 24.2074
5.444242300, 8.670, 486.0, 22.0454
5.449675540, 8.670, 514.0, 22.6716
5.455108780, 8.670, 497.0, 22.2935
5.460542020, 8.670, 554.0, 23.5372
5.465975260, 8.670, 554.0, 23.5372
5.471408500, 8.670, 535.0, 23.1301
5.476841740, 8.670, 552.0, 23.4947
5.482274980, 8.670, 508.0, 22.5389
5.487708220, 8.670, 536.0, 23.1517
5.493141460, 8.670, 564.0, 23.7487
5.498574700, 8.670, 534.0, 23.1084
5.504007940, 8.670, 531.0, 23.0434
5.509441180, 8.670, 489.0, 22.1133
5.514874420, 8.670, 510.0, 22.5832
5.520307660, 8.670, 511.0, 22.6053
5.525740900, 8.670, 512.0, 22.6274
5.531174140, 8.670, 519.0, 22.7816
5.536607380, 8.670, 538.0, 23.1948
5.542040620, 8.670, 565.0, 23.7697
5.547473860, 8.670, 470.0, 21.6795
5.552907100, 8.670, 485.0, 22.0227
5.558340340, 8.670, 517.0, 22.7376
5.563773580, 8.670, 493.0, 22.2036
5.569206820, 8.670, 506.0, 22.4944
5.574640060, 8.670, 504.0, 22.4499
5.580073300, 8.670, 518.0, 22.7596
5.585506540, 8.670, 509.0, 22.5610
5.590939780, 8.670, 518.0, 22.7596
5.596373020, 8.670, 482.0, 21.9545
5.601806260, 8.670, 528.0, 22.9783
5.607239500, 8.670, 500.0, 22.3607
5.612672740, 8.670, 496.0, 22.2711
5.618105980, 8.670, 500.0, 22.3607
5.623539220, 8.670, 513.0, 22.6495
5.628972460, 8.670, 491.0, 22.1585
5.634405700, 8.670, 483.0, 21.9773
5.639838940, 8.670, 492.0, 22.1811
5.645272180, 8.670, 490.0, 22.1359
5.650705420, 8.670, 531.0, 23.0434
5.656138660, 8.670, 541.0, 23.2594
5.661571900, 8.670, 487.0, 22.0681
5.667005140, 8.670, 527.0, 22.9565
5.672438380, 8.670, 511.0, 22.6053
5.677871620, 8.670, 507.0, 22.5167
5.683304860, 8.670, 455.0, 21.3307
5.688738100, 8.670, 482.0, 21.9545
5.694171340, 8.670, 497.0, 22.2935
5.699604580, 8.670, 537.0, 23.1733
5.705037820, 8.670, 486.0, 22.0454
5.710471060, 8.670, 457.0, 21.3776
5.715904300, 8.670, 477.0, 21.8403
5.721337540, 8.670, 484.0, 22.0000
5.726770780, 8.670, 504.0, 22.4499
5.732204020, 8.670, 479.0, 21.8861
5.737637260, 8.670, 489.0, 22.1133
5.743070500, 8.670, 451.0, 21.2368
5.748503740, 8.670, 474.0, 21.7715
5.753936980, 8.670, 456.0, 21.3542
5.759370220, 8.670, 550.0, 23.4521
5.764803460, 8.670, 515.0, 22.6936
5.770236700, 8.670, 511.0, 22.6053
5.775669940, 8.670, 471.0, 21.7025
5.781103180, 8.670, 501.0, 22.3830
5.786536420, 8.670, 457.0, 21.3776
5.791969660, 8.670, 449.0, 21.1896
5.797402900, 8.670, 501.0, 22.3830
5.802836140, 8.670, 488.0, 22.0907
5.808269380, 8.670, 467.0, 21.6102
5.813702620, 8.670, 481.0, 21.9317
5.819135860, 8.670, 487.0, 22.0681
5.824569100, 8.670, 513.0, 22.6495
5.830002340, 8.670, 452.0, 21.2603
5.835435580, 8.670, 446.0, 21.1187
5.840868820, 8.670, 505.0, 22.4722
5.846302060, 8.670, 469.0, 21.6564
5.851735300, 8.670, 488.0, 22.0907
5.857168540, 8.670, 471.0, 21.7025
5.862601780, 8.670, 484.0, 22.0000
5.868035020, 8.670, 472.0, 21.7256
5.873468260, 8.670, 498.0, 22.3159
5.878901500, 8.670, 472.0, 21.7256
5.884334740, 8.670, 456.0, 21.3542
5.889767980, 8.670, 431.0, 20.7605
5.895201220, 8.670, 460.0, 21.4476
5.900634460, 8.670, 441.0, 21.0000
5.906067700, 8.670, 476.0, 21.8174
5.911500940, 8.670, 451.0, 21.2368
5.916934180, 8.670, 482.0, 21.9545
5.922367420, 8.670, 468.0, 21.6333
5.927800660, 8.670, 463.0, 21.5174
5.933233900, 8.670, 461.0, 21.4709
5.938667140, 8.670, 460.0, 21.4476
5.944100380, 8.670, 406.0, 20.1494
5.949533620, 8.670, 462.0, 21.4942
5.954966860, 8.670, 467.0, 21.6102
5.960400100, 8.670, 452.0, 21.2603
5.965833340, 8.670, 427.0, 20.6640
5.971266580, 8.670, 425.0, 20.6155
5.976699820, 8.670, 409.0, 20.2237
5.982133060, 8.670, 433.0, 20.8087
5.987566300, 8.670, 390.0, 19.7484
5.992999540, 8.670, 449.0, 21.1896
5.998432780, 8.670, 424.0, 20.5913
6.003866020, 8.670, 417.0, 20.4206
6.009299260, 8.670, 411.0, 20.2731
6.014732500, 8.670, 426.0, 20.6398
6.020165740, 8.670, 428.0, 20.6882
6.025598980, 8.670, 427.0, 20.6640
6.031032220, 8.670, 398.0, 19.9499
6.036465460, 8.670, 373.0, 19.3132
6.041898700, 8.670, 403.0, 20.0749
6.047331940, 8.670, 414.0, 20.3470
6.052765180, 8.670, 447.0, 21.1424
6.058198420, 8.670, 398.0, 19.9499
6.063631660, 8.670, 404.0, 20.0998
6.069064900, 8.670, 385.0, 19.6214
6.074498140, 8.670, 408.0, 20.1990
6.079931380, 8.670, 392.0, 19.7990
6.085364620, 8.670, 368.0, 19.1833
6.090797860, 8.670, 385.0, 19.6214
6.096231100, 8.670, 404.0, 20.0998
6.101664340, 8.670, 415.0, 20.3715
6.107097580, 8.670, 411.0, 20.2731
6.112530820, 8.670, 367.0, 19.1572
6.117964060, 8.670, 397.0, 19.9249
6.123397300, 8.670, 396.0, 19.8997
6.128830540, 8.670, 321.0, 17.9165
6.134263780, 8.670, 374.0, 19.3391
6.139697020, 8.670, 367.0, 19.1572
6.145130260, 8.670, 354.0, 18.8149
6.150563500, 8.670, 389.0, 19.7231
6.155996740, 8.670, 364.0, 19.0788
6.161429980, 8.670, 327.0, 18.0831
6.166863220, 8.670, 339.0, 18.4120
6.172296460, 8.670, 358.0, 18.9209
6.177729700, 8.670, 332.0, 18.2209
6.183162940, 8.670, 367.0, 19.1572
6.188596180, 8.670, 355.0, 18.8414
6.194029420, 8.670, 331.0, 18.1934
6.199462660, 8.670, 326.0, 18.0555
6.204895900, 8.670, 330.0, 18.1659
6.210329140, 8.670, 336.0, 18.3303
6.215762380, 8.670, 315.0, 17.7482
6.221195620, 8.670, 336.0, 18.3303
6.226628860, 8.670, 326.0, 18.0555
6.232062100, 8.670, 303.0, 17.4069
6.237495340, 8.670, 345.0, 18.5742
6.242928580, 8.670, 322.0, 17.9444
6.248361820, 8.670, 323.0, 17.9722
6.253795060, 8.670, 317.0, 17.8045
6.259228300, 8.670, 308.0, 17.5499
6.264661540, 8.670, 309.0, 17.5784
6.270094780, 8.670, 305.0, 17.4642
6.275528020, 8.670, 337.0, 18.3576
6.280961260, 8.670, 362.0, 19.0263
6.286394500, 8.670, 334.0, 18.2757
6.291827740, 8.670, 323.0, 17.9722
6.297260980, 8.670, 339.0, 18.4120
6.302694220, 8.670, 273.0, 16.5227
6.308127460, 8.670, 321.0, 17.9165
6.313560700, 8.670, 318.0, 17.8326
6.318993940, 8.670, 309.0, 17.5784
6.324427180, 8.670, 291.0, 17.0587
6.329860420, 8.670, 274.0, 16.5529
6.335293660, 8.670, 296.0, 17.2047
6.340726900, 8.670, 310.0, 17.6068
6.346160140, 8.670, 320.0, 17.8885
6.351593380, 8.670, 332.0, 18.2209
6.357026620, 8.670, 286.0, 16.9115
6.362459860, 8.670, 308.0, 17.5499
6.367893100, 8.670, 329.0, 18.1384
6.373326340, 8.670, 308.0, 17.5499
6.378759580, 8.670, 318.0, 17.8326
6.384192820, 8.670, 297.0, 17.2337
6.389626060, 8.670, 289.0, 17.0000
6.395059300, 8.670, 288.0, 16.9706
6.400492540, 8.670, 326.0, 18.0555
6.405925780, 8.670, 292.0, 17.0880
6.411359020, 8.670, 287.0, 16.9411
6.416792260, 8.670, 316.0, 17.7764
6.422225500, 8.670, 320.0, 17.8885
6.427658740, 8.670, 306.0, 17.4929
6.433091980, 8.670, 308.0, 17.5499
6.438525220, 8.670, 306.0, 17.4929
6.443958460, 8.670, 296.0, 17.2047
6.449391700, 8.670, 320.0, 17.8885
6.454824940, 8.670, 306.0, 17.4929
6.460258180, 8.670, 298.0, 17.2627
6.465691420, 8.670, 282.0, 16.7929
6.471124660, 8.670, 309.0, 17.5784
6.476557900, 8.670, 281.0, 16.7631
6.481991140, 8.670, 333.0, 18.2483
6.487424380, 8.670, 298.0, 17.2627
6.492857620, 8.670, 285.0, 16.8819
6.498290860, 8.670, 317.0, 17.8045
6.503724100, 8.670, 288.0, 16.9706
6.509157340, 8.670, 279.0, 16.7033
6.514590580, 8.670, 284.0, 16.8523
6.520023820, 8.670, 301.0, 17.3494
6.525457060, 8.670, 270.0, 16.4317
6.530890300, 8.670, 289.0, 17.0000
6.536323540, 8.670, 330.0, 18.1659
6.541756780, 8.670, 291.0, 17.0587
6.547190020, 8.670, 309.0, 17.5784
6.552623260, 8.670, 291.0, 17.0587
6.558056500, 8.670, 305.0, 17.4642
6.563489740, 8.670, 319.0, 17.8606
6.568922980, 8.670, 293.0, 17.1172
6.574356220, 8.670, 327.0, 18.0831
6.579789460, 8.670, 291.0, 17.0587
6.585222700, 8.670, 305.0, 17.4642
6.590655940, 8.670, 279.0, 16.7033
6.596089180, 8.670, 283.0, 16.8226
6.601522420, 8.670, 290.0, 17.0294
6.606955660, 8.670, 319.0, 17.8606
6.612388900, 8.670, 289.0, 17.0000
6.617822140, 8.670, 278.0, 16.6733
6.623255380, 8.670, 286.0, 16.9115
6.628688620, 8.670, 277.0, 16.6433
6.634121860, 8.670, 269.0, 16.4012
6.639555100, 8.670, 309.0, 17.5784
6.644988340, 8.670, 286.0, 16.9115
6.650421580, 8.670, 265.0, 16.2788
6.655854820, 8.670, 276.0, 16.6132
6.661288060, 8.670, 293.0, 17.1172
6.666721300, 8.670, 283.0, 16.8226
6.672154540, 8.670, 310.0, 17.6068
6.677587780, 8.670, 256.0, 16.0000
6.683021020, 8.670, 317.0, 17.8045
6.688454260, 8.670, 278.0, 16.6733
6.693887500, 8.670, 296.0, 17.2047
6.699320740, 8.670, 286.0, 16.9115
6.704753980, 8.670, 278.0, 16.6733
6.710187220, 8.670, 296.0, 17.2047
6.715620460, 8.670, 280.0, 16.7332
6.721053700, 8.670, 319.0, 17.8606
6.726486940, 8.670, 271.0, 16.4621
6.731920180, 8.670, 311.0, 17.6352
6.737353420, 8.670, 310.0, 17.6068
6.742786660, 8.670, 279.0, 16.7033
6.748219900, 8.670, 264.0, 16.2481
6.753653140, 8.670, 312.0, 17.6635
6.759086380, 8.670, 299.0, 17.2916
6.764519620, 8.670, 282.0, 16.7929
6.769952860, 8.670, 314.0, 17.7200
6.775386100, 8.670, 300.0, 17.3205
6.780819340, 8.670, 294.0, 17.1464
6.786252580, 8.670, 305.0, 17.4642
6.791685820, 8.670, 296.0, 17.2047
6.797119060, 8.670, 276.0, 16.6132
6.802552300, 8.670, 299.0, 17.2916
6.807985540, 8.670, 270.0, 16.4317
6.813418780, 8.670, 286.0, 16.9115
6.818852020, 8.670, 294.0, 17.1464
6.824285260, 8.670, 298.0, 17.2627
6.829718500, 8.670, 285.0, 16.8819
6.835151740, 8.670, 309.0, 17.5784
6.840584980, 8.670, 300.0, 17.3205
6.846018220, 8.670, 307.0, 17.5214
6.851451460, 8.670, 295.0, 17.1756
6.856884700, 8.670, 298.0, 17.2627
6.862317940, 8.670, 267.0, 16.3401
6.867751180, 8.670, 304.0, 17.4356
6.873184420, 8.670, 299.0, 17.2916
6.878617660, 8.670, 308.0, 17.5499
6.884050900, 8.670, 308.0, 17.5499
6.889484140, 8.670, 277.0, 16.6433
6.894917380, 8.670, 306.0, 17.4929
6.900350620, 8.670, 249.0, 15.7797
6.905783860, 8.670, 266.0, 16.3095
6.911217100, 8.670, 284.0, 16.8523
6.916650340, 8.670, 344.0, 18.5472
6.922083580, 8.670, 300.0, 17.3205
6.927516820, 8.670, 282.0, 16.7929
6.932950060, 8.670, 319.0, 17.8606
6.938383300, 8.670, 278.0, 16.6733
6.943816540, 8.670, 294.0, 17.1464
6.949249780, 8.670, 265.0, 16.2788
6.954683020, 8.670, 298.0, 17.2627
6.960116260, 8.670, 258.0, 16.0624
6.965549500, 8.670, 298.0, 17.2627
6.970982740, 8.670, 270.0, 16.4317
6.976415980, 8.670, 300.0, 17.3205
6.981849220, 8.670, 277.0, 16.6433
6.987282460, 8.670, 282.0, 16.7929
6.992715700, 8.670, 281.0, 16.7631
6.998148940, 8.670, 294.0, 17.1464
7.003582180, 8.670, 328.0, 18.1108
7.009015420, 8.670, 278.0, 16.6733
7.014448660, 8.670, 257.0, 16.0312
7.019881900, 8.670, 298.0, 17.2627
7.025315140, 8.670, 291.0, 17.0587
7.030748380, 8.670, 317.0, 17.8045
7.036181620, 8.670, 292.0, 17.0880
