[Measurement conditions]
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.76mm
Monochromator used,NO
Generator voltage, 40
Tube current, 15
File date and time,10/Sep/2026 12:49
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,4.996000000,65.000702560
Scan step size,0.0054332
No. of points, 11044
Scan type,CONTINUOUS
Time per step,8.670
[Scan points]
Angle, TimePerStep, Intensity, ESD
4.998716620, 8.670, 1025.0, 32.0156
5.004149860, 8.670, 1019.0, 31.9218
5.009583100, 8.670, 1017.0, 31.8904
5.015016340, 8.670, 1007.0, 31.7333
5.020449580, 8.670, 1123.0, 33.5112
5.025882820, 8.670, 1061.0, 32.5730
5.031316060, 8.670, 1030.0, 32.0936
5.036749300, 8.670, 1097.0, 33.1210
5.042182540, 8.670, 1040.0, 32.2490
5.047615780, 8.670, 1075.0, 32.7872
5.053049020, 8.670, 1017.0, 31.8904
5.058482260, 8.670, 1054.0, 32.4654
5.063915500, 8.670, 1093.0, 33.0606
5.069348740, 8.670, 1055.0, 32.4808
5.074781980, 8.670, 1064.0, 32.6190
5.080215220, 8.670, 1059.0, 32.5423
5.085648460, 8.670, 1116.0, 33.4066
5.091081700, 8.670, 1103.0, 33.2114
5.096514940, 8.670, 1116.0, 33.4066
5.101948180, 8.670, 1110.0, 33.3167
5.107381420, 8.670, 1146.0, 33.8526
5.112814660, 8.670, 1109.0, 33.3017
5.118247900, 8.670, 1118.0, 33.4365
5.123681140, 8.670, 1151.0, 33.9264
5.129114380, 8.670, 1226.0, 35.0143
5.134547620, 8.670, 1089.0, 33.0000
5.139980860, 8.670, 1206.0, 34.7275
5.145414100, 8.670, 1201.0, 34.6554
5.150847340, 8.670, 1148.0, 33.8821
5.156280580, 8.670, 1187.0, 34.4529
5.161713820, 8.670, 1125.0, 33.5410
5.167147060, 8.670, 1076.0, 32.8024
5.172580300, 8.670, 1105.0, 33.2415
5.178013540, 8.670, 1154.0, 33.9706
5.183446780, 8.670, 1051.0, 32.4191
5.188880020, 8.670, 1062.0, 32.5883
5.194313260, 8.670, 1046.0, 32.3419
5.199746500, 8.670, 1009.0, 31.7648
5.205179740, 8.670, 968.0, 31.1127
5.210612980, 8.670, 924.0, 30.3974
5.216046220, 8.670, 986.0, 31.4006
5.221479460, 8.670, 916.0, 30.2655
5.226912700, 8.670, 924.0, 30.3974
5.232345940, 8.670, 882.0, 29.6985
5.237779180, 8.670, 858.0, 29.2916
5.243212420, 8.670, 796.0, 28.2135
5.248645660, 8.670, 758.0, 27.5318
5.254078900, 8.670, 837.0, 28.9310
5.259512140, 8.670, 791.0, 28.1247
5.264945380, 8.670, 756.0, 27.4955
5.270378620, 8.670, 760.0, 27.5681
5.275811860, 8.670, 791.0, 28.1247
5.281245100, 8.670, 711.0, 26.6646
5.286678340, 8.670, 736.0, 27.1293
5.292111580, 8.670, 713.0, 26.7021
5.297544820, 8.670, 753.0, 27.4408
5.302978060, 8.670, 727.0, 26.9629
5.308411300, 8.670, 693.0, 26.3249
5.313844540, 8.670, 743.0, 27.2580
5.319277780, 8.670, 726.0, 26.9444
5.324711020, 8.670, 727.0, 26.9629
5.330144260, 8.670, 700.0, 26.4575
5.335577500, 8.670, 720.0, 26.8328
5.341010740, 8.670, 694.0, 26.3439
5.346443980, 8.670, 687.0, 26.2107
5.351877220, 8.670, 688.0, 26.2298
5.357310460, 8.670, 676.0, 26.0000
5.362743700, 8.670, 773.0, 27.8029
5.368176940, 8.670, 726.0, 26.9444
5.373610180, 8.670, 671.0, 25.9037
5.379043420, 8.670, 746.0, 27.3130
5.384476660, 8.670, 694.0, 26.3439
5.389909900, 8.670, 664.0, 25.7682
5.395343140, 8.670, 679.0, 26.0576
5.400776380, 8.670, 688.0, 26.2298
5.406209620, 8.670, 726.0, 26.9444
5.411642860, 8.670, 698.0, 26.4197
5.417076100, 8.670, 694.0, 26.3439
5.422509340, 8.670, 687.0, 26.2107
5.427942580, 8.670, 672.0, 25.9230
5.433375820, 8.670, 664.0, 25.7682
5.438809060, 8.670, 676.0, 26.0000
5.444242300, 8.670, 629.0, 25.0799
5.449675540, 8.670, 694.0, 26.3439
5.455108780, 8.670, 624.0, 24.9800
5.460542020, 8.670, 665.0, 25.7876
5.465975260, 8.670, 653.0, 25.5539
5.471408500, 8.670, 707.0, 26.5895
5.476841740, 8.670, 651.0, 25.5147
