[Measurement conditions]
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.76mm
Monochromator used,NO
Generator voltage, 40
Tube current, 15
File date and time,10/Sep/2026 12:32
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,4.996000000,65.000702560
Scan step size,0.0054332
No. of points, 11044
Scan type,CONTINUOUS
Time per step,8.670
[Scan points]
Angle, TimePerStep, Intensity, ESD
4.998716620, 8.670, 768.0, 27.7128
5.004149860, 8.670, 753.0, 27.4408
5.009583100, 8.670, 713.0, 26.7021
5.015016340, 8.670, 726.0, 26.9444
5.020449580, 8.670, 749.0, 27.3679
5.025882820, 8.670, 725.0, 26.9258
5.031316060, 8.670, 775.0, 27.8388
5.036749300, 8.670, 765.0, 27.6586
5.042182540, 8.670, 784.0, 28.0000
5.047615780, 8.670, 747.0, 27.3313
5.053049020, 8.670, 701.0, 26.4764
5.058482260, 8.670, 749.0, 27.3679
5.063915500, 8.670, 747.0, 27.3313
5.069348740, 8.670, 709.0, 26.6271
5.074781980, 8.670, 750.0, 27.3861
5.080215220, 8.670, 729.0, 27.0000
5.085648460, 8.670, 763.0, 27.6225
5.091081700, 8.670, 706.0, 26.5707
5.096514940, 8.670, 709.0, 26.6271
5.101948180, 8.670, 737.0, 27.1477
5.107381420, 8.670, 698.0, 26.4197
5.112814660, 8.670, 732.0, 27.0555
5.118247900, 8.670, 730.0, 27.0185
5.123681140, 8.670, 655.0, 25.5930
5.129114380, 8.670, 674.0, 25.9615
5.134547620, 8.670, 689.0, 26.2488
5.139980860, 8.670, 738.0, 27.1662
5.145414100, 8.670, 701.0, 26.4764
5.150847340, 8.670, 713.0, 26.7021
5.156280580, 8.670, 716.0, 26.7582
5.161713820, 8.670, 739.0, 27.1846
5.167147060, 8.670, 733.0, 27.0740
5.172580300, 8.670, 698.0, 26.4197
5.178013540, 8.670, 692.0, 26.3059
5.183446780, 8.670, 722.0, 26.8701
5.188880020, 8.670, 683.0, 26.1343
5.194313260, 8.670, 681.0, 26.0960
5.199746500, 8.670, 706.0, 26.5707
5.205179740, 8.670, 665.0, 25.7876
5.210612980, 8.670, 637.0, 25.2389
5.216046220, 8.670, 699.0, 26.4386
