[Measurement conditions]
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.38mm
Monochromator used,NO
Generator voltage, 40
Tube current, 15
File date and time,17/Sep/2026 11:38
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,1.997000000,29.999918960
Scan step size,0.0108665
No. of points, 2577
Scan type,CONTINUOUS
Time per step,18.870
[Scan points]
Angle, TimePerStep, Intensity, ESD
2.002433240, 18.870, 59345.0, 243.6083
2.013299720, 18.870, 56867.0, 238.4680
2.024166200, 18.870, 54820.0, 234.1367
2.035032680, 18.870, 52600.0, 229.3469
2.045899160, 18.870, 50544.0, 224.8199
2.056765640, 18.870, 48255.0, 219.6702
2.067632120, 18.870, 45929.0, 214.3105
2.078498600, 18.870, 43481.0, 208.5210
2.089365080, 18.870, 41438.0, 203.5633
2.100231560, 18.870, 38727.0, 196.7918
2.111098040, 18.870, 36511.0, 191.0785
2.121964520, 18.870, 34076.0, 184.5969
2.132831000, 18.870, 31730.0, 178.1292
2.143697480, 18.870, 29671.0, 172.2527
2.154563960, 18.870, 27049.0, 164.4658
2.165430440, 18.870, 24625.0, 156.9235
2.176296920, 18.870, 22185.0, 148.9463
2.187163400, 18.870, 19496.0, 139.6281
2.198029880, 18.870, 17390.0, 131.8711
2.208896360, 18.870, 15011.0, 122.5194
2.219762840, 18.870, 12625.0, 112.3610
2.230629320, 18.870, 10199.0, 100.9901
2.241495800, 18.870, 7908.0, 88.9269
2.252362280, 18.870, 5722.0, 75.6439
2.263228760, 18.870, 4453.0, 66.7308
2.274095240, 18.870, 3652.0, 60.4318
2.284961720, 18.870, 3070.0, 55.4076
2.295828200, 18.870, 2970.0, 54.4977
2.306694680, 18.870, 2825.0, 53.1507
2.317561160, 18.870, 2730.0, 52.2494
2.328427640, 18.870, 2846.0, 53.3479
2.339294120, 18.870, 2735.0, 52.2972
2.350160600, 18.870, 2761.0, 52.5452
2.361027080, 18.870, 2724.0, 52.1920
2.371893560, 18.870, 2589.0, 50.8822
2.382760040, 18.870, 2674.0, 51.7107
2.393626520, 18.870, 2722.0, 52.1728
2.404493000, 18.870, 2793.0, 52.8488
2.415359480, 18.870, 2675.0, 51.7204
2.426225960, 18.870, 2679.0, 51.7591
2.437092440, 18.870, 2606.0, 51.0490
2.447958920, 18.870, 2577.0, 50.7642
2.458825400, 18.870, 2611.0, 51.0979
2.469691880, 18.870, 2598.0, 50.9706
2.480558360, 18.870, 2591.0, 50.9019
2.491424840, 18.870, 2617.0, 51.1566
2.502291320, 18.870, 2594.0, 50.9313
2.513157800, 18.870, 2544.0, 50.4381
2.524024280, 18.870, 2568.0, 50.6754
2.534890760, 18.870, 2445.0, 49.4469
2.545757240, 18.870, 2623.0, 51.2152
2.556623720, 18.870, 2447.0, 49.4672
2.567490200, 18.870, 2525.0, 50.2494
2.578356680, 18.870, 2469.0, 49.6890
2.589223160, 18.870, 2516.0, 50.1597
2.600089640, 18.870, 2519.0, 50.1896
2.610956120, 18.870, 2467.0, 49.6689
2.621822600, 18.870, 2531.0, 50.3090
2.632689080, 18.870, 2493.0, 49.9300
2.643555560, 18.870, 2457.0, 49.5681
2.654422040, 18.870, 2414.0, 49.1325
2.665288520, 18.870, 2479.0, 49.7896
2.676155000, 18.870, 2380.0, 48.7852
2.687021480, 18.870, 2437.0, 49.3660
2.697887960, 18.870, 2392.0, 48.9081
2.708754440, 18.870, 2415.0, 49.1426
2.719620920, 18.870, 2429.0, 49.2849
2.730487400, 18.870, 2325.0, 48.2183
2.741353880, 18.870, 2384.0, 48.8262
2.752220360, 18.870, 2368.0, 48.6621
2.763086840, 18.870, 2351.0, 48.4871
2.773953320, 18.870, 2339.0, 48.3632
2.784819800, 18.870, 2321.0, 48.1768
2.795686280, 18.870, 2415.0, 49.1426
2.806552760, 18.870, 2446.0, 49.4571
2.817419240, 18.870, 2512.0, 50.1199
2.828285720, 18.870, 2433.0, 49.3254
2.839152200, 18.870, 2413.0, 49.1223
2.850018680, 18.870, 2445.0, 49.4469
2.860885160, 18.870, 2468.0, 49.6790
2.871751640, 18.870, 2353.0, 48.5077
2.882618120, 18.870, 2494.0, 49.9400
2.893484600, 18.870, 2475.0, 49.7494
2.904351080, 18.870, 2507.0, 50.0700
2.915217560, 18.870, 2496.0, 49.9600
2.926084040, 18.870, 2553.0, 50.5272
2.936950520, 18.870, 2593.0, 50.9215
2.947817000, 18.870, 2542.0, 50.4183
2.958683480, 18.870, 2606.0, 51.0490
2.969549960, 18.870, 2526.0, 50.2593
2.980416440, 18.870, 2689.0, 51.8556
2.991282920, 18.870, 2757.0, 52.5071
3.002149400, 18.870, 2745.0, 52.3927
3.013015880, 18.870, 2682.0, 51.7880
3.023882360, 18.870, 2739.0, 52.3355
3.034748840, 18.870, 2871.0, 53.5817
3.045615320, 18.870, 2982.0, 54.6077
3.056481800, 18.870, 3145.0, 56.0803
3.067348280, 18.870, 3043.0, 55.1634
3.078214760, 18.870, 3175.0, 56.3471
3.089081240, 18.870, 3181.0, 56.4004
3.099947720, 18.870, 3334.0, 57.7408
3.110814200, 18.870, 3400.0, 58.3095
3.121680680, 18.870, 3201.0, 56.5774
3.132547160, 18.870, 3287.0, 57.3324
3.143413640, 18.870, 3218.0, 56.7274
3.154280120, 18.870, 3174.0, 56.3383
3.165146600, 18.870, 3045.0, 55.1815
3.176013080, 18.870, 3069.0, 55.3986
3.186879560, 18.870, 3023.0, 54.9818
3.197746040, 18.870, 2846.0, 53.3479
3.208612520, 18.870, 2768.0, 52.6118
3.219479000, 18.870, 2627.0, 51.2543
3.230345480, 18.870, 2462.0, 49.6185
3.241211960, 18.870, 2310.0, 48.0625
3.252078440, 18.870, 2286.0, 47.8121
3.262944920, 18.870, 2176.0, 46.6476
3.273811400, 18.870, 2022.0, 44.9667
3.284677880, 18.870, 2066.0, 45.4533
3.295544360, 18.870, 2044.0, 45.2106
3.306410840, 18.870, 1918.0, 43.7950
3.317277320, 18.870, 1986.0, 44.5646
3.328143800, 18.870, 1893.0, 43.5086
3.339010280, 18.870, 1896.0, 43.5431
3.349876760, 18.870, 1923.0, 43.8520
3.360743240, 18.870, 1757.0, 41.9166
3.371609720, 18.870, 1871.0, 43.2551
3.382476200, 18.870, 1829.0, 42.7668
3.393342680, 18.870, 1755.0, 41.8927
3.404209160, 18.870, 1761.0, 41.9643
3.415075640, 18.870, 1672.0, 40.8901
3.425942120, 18.870, 1704.0, 41.2795
3.436808600, 18.870, 1733.0, 41.6293
3.447675080, 18.870, 1706.0, 41.3038
3.458541560, 18.870, 1664.0, 40.7922
3.469408040, 18.870, 1701.0, 41.2432
3.480274520, 18.870, 1610.0, 40.1248
3.491141000, 18.870, 1647.0, 40.5832
3.502007480, 18.870, 1629.0, 40.3609
3.512873960, 18.870, 1624.0, 40.2989
3.523740440, 18.870, 1629.0, 40.3609
3.534606920, 18.870, 1604.0, 40.0500
3.545473400, 18.870, 1566.0, 39.5727
3.556339880, 18.870, 1548.0, 39.3446
3.567206360, 18.870, 1549.0, 39.3573
3.578072840, 18.870, 1555.0, 39.4335
3.588939320, 18.870, 1592.0, 39.8999
3.599805800, 18.870, 1533.0, 39.1535
3.610672280, 18.870, 1528.0, 39.0896
3.621538760, 18.870, 1586.0, 39.8246
3.632405240, 18.870, 1473.0, 38.3797
3.643271720, 18.870, 1520.0, 38.9872
