[Measurement conditions]
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.38mm
Monochromator used,NO
Generator voltage, 40
Tube current, 15
File date and time,17/Sep/2026 11:43
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,1.997000000,29.999918960
Scan step size,0.0108665
No. of points, 2577
Scan type,CONTINUOUS
Time per step,18.870
[Scan points]
Angle, TimePerStep, Intensity, ESD
2.002433240, 18.870, 59971.0, 244.8898
2.013299720, 18.870, 57179.0, 239.1213
2.024166200, 18.870, 54957.0, 234.4291
2.035032680, 18.870, 52786.0, 229.7520
2.045899160, 18.870, 50803.0, 225.3952
2.056765640, 18.870, 47976.0, 219.0342
2.067632120, 18.870, 45879.0, 214.1938
2.078498600, 18.870, 43008.0, 207.3837
2.089365080, 18.870, 40898.0, 202.2325
2.100231560, 18.870, 38632.0, 196.5502
2.111098040, 18.870, 36529.0, 191.1256
2.121964520, 18.870, 34210.0, 184.9595
2.132831000, 18.870, 31549.0, 177.6204
2.143697480, 18.870, 29483.0, 171.7061
2.154563960, 18.870, 27246.0, 165.0636
2.165430440, 18.870, 24866.0, 157.6896
2.176296920, 18.870, 22342.0, 149.4724
2.187163400, 18.870, 19995.0, 141.4037
2.198029880, 18.870, 17497.0, 132.2762
2.208896360, 18.870, 14876.0, 121.9672
2.219762840, 18.870, 12501.0, 111.8079
2.230629320, 18.870, 10226.0, 101.1237
2.241495800, 18.870, 7718.0, 87.8521
2.252362280, 18.870, 5719.0, 75.6241
2.263228760, 18.870, 4332.0, 65.8179
2.274095240, 18.870, 3392.0, 58.2409
2.284961720, 18.870, 2982.0, 54.6077
2.295828200, 18.870, 2773.0, 52.6593
2.306694680, 18.870, 2784.0, 52.7636
2.317561160, 18.870, 2654.0, 51.5170
2.328427640, 18.870, 2609.0, 51.0784
2.339294120, 18.870, 2617.0, 51.1566
2.350160600, 18.870, 2623.0, 51.2152
2.361027080, 18.870, 2570.0, 50.6952
2.371893560, 18.870, 2610.0, 51.0882
2.382760040, 18.870, 2519.0, 50.1896
2.393626520, 18.870, 2487.0, 49.8698
2.404493000, 18.870, 2554.0, 50.5371
2.415359480, 18.870, 2516.0, 50.1597
2.426225960, 18.870, 2460.0, 49.5984
2.437092440, 18.870, 2398.0, 48.9694
2.447958920, 18.870, 2476.0, 49.7594
2.458825400, 18.870, 2539.0, 50.3885
2.469691880, 18.870, 2362.0, 48.6004
2.480558360, 18.870, 2432.0, 49.3153
2.491424840, 18.870, 2478.0, 49.7795
2.502291320, 18.870, 2450.0, 49.4975
2.513157800, 18.870, 2455.0, 49.5480
2.524024280, 18.870, 2383.0, 48.8160
2.534890760, 18.870, 2377.0, 48.7545
2.545757240, 18.870, 2359.0, 48.5695
2.556623720, 18.870, 2436.0, 49.3559
2.567490200, 18.870, 2252.0, 47.4552
2.578356680, 18.870, 2323.0, 48.1975
2.589223160, 18.870, 2363.0, 48.6107
2.600089640, 18.870, 2356.0, 48.5386
2.610956120, 18.870, 2288.0, 47.8330
2.621822600, 18.870, 2285.0, 47.8017
2.632689080, 18.870, 2272.0, 47.6655
2.643555560, 18.870, 2329.0, 48.2597
2.654422040, 18.870, 2318.0, 48.1456
2.665288520, 18.870, 2290.0, 47.8539
2.676155000, 18.870, 2258.0, 47.5184
2.687021480, 18.870, 2215.0, 47.0638
2.697887960, 18.870, 2179.0, 46.6798
2.708754440, 18.870, 2199.0, 46.8935
2.719620920, 18.870, 2221.0, 47.1275
2.730487400, 18.870, 2122.0, 46.0652
2.741353880, 18.870, 2130.0, 46.1519
2.752220360, 18.870, 2128.0, 46.1303
2.763086840, 18.870, 2154.0, 46.4112
2.773953320, 18.870, 2165.0, 46.5296
2.784819800, 18.870, 2135.0, 46.2061
2.795686280, 18.870, 2068.0, 45.4753
2.806552760, 18.870, 2202.0, 46.9255
2.817419240, 18.870, 2088.0, 45.6946
2.828285720, 18.870, 2026.0, 45.0111
2.839152200, 18.870, 1970.0, 44.3847
2.850018680, 18.870, 2060.0, 45.3872
2.860885160, 18.870, 2101.0, 45.8367
2.871751640, 18.870, 2035.0, 45.1110
2.882618120, 18.870, 1970.0, 44.3847
2.893484600, 18.870, 2006.0, 44.7884
2.904351080, 18.870, 2029.0, 45.0444
2.915217560, 18.870, 1987.0, 44.5758
2.926084040, 18.870, 1969.0, 44.3734
2.936950520, 18.870, 2022.0, 44.9667
2.947817000, 18.870, 1985.0, 44.5533
2.958683480, 18.870, 1938.0, 44.0227
2.969549960, 18.870, 1948.0, 44.1362
2.980416440, 18.870, 1944.0, 44.0908
2.991282920, 18.870, 1930.0, 43.9318
3.002149400, 18.870, 1828.0, 42.7551
3.013015880, 18.870, 1884.0, 43.4051
3.023882360, 18.870, 1952.0, 44.1814
3.034748840, 18.870, 1826.0, 42.7317
3.045615320, 18.870, 1903.0, 43.6234
3.056481800, 18.870, 1878.0, 43.3359
3.067348280, 18.870, 1823.0, 42.6966
3.078214760, 18.870, 1931.0, 43.9431
3.089081240, 18.870, 1821.0, 42.6732
3.099947720, 18.870, 1800.0, 42.4264
3.110814200, 18.870, 1707.0, 41.3159
3.121680680, 18.870, 1746.0, 41.7852
3.132547160, 18.870, 1730.0, 41.5933
3.143413640, 18.870, 1672.0, 40.8901
3.154280120, 18.870, 1721.0, 41.4849
3.165146600, 18.870, 1799.0, 42.4146
3.176013080, 18.870, 1687.0, 41.0731
