No.,Pos. [ 2Th.],d-spacing [À],Height [cts],l/lmax
1,5.0847,17.36541,29562,87%
2,10.09,8.75955,158,0%
3,12.194,7.25232,4234,12%
4,14.141,6.25817,2433,7%
5,15.662,5.65364,19978,59%
6,17.4,5.09227,576,2%
7,18.573,477348,9176,27%
8,19.415,456839,2563,8%
9,20.35,4.36098,831,2%
10,21.685,409491,33878,100%
11,21.919,4.05175,4369,13%
12,22.148,4.01031,5971,18%
13,22.842,3.89009,4521,13%
14,23.519,3.77954,10585,31%
15,23.825,3.73181,8674,26%
16,24.103,3.68936,4752,14%
17,24.47,3.63519,434,1%
18,25.05,3.55221,5408,16%
19,25.149,3.53825,107,0%
20,25.244,3.52517,8758,26%
21,25.438,3.4987,4768,14%
22,25.836,3.44564,2741,8%
23,26.035,3.41975,2662,8%
24,26.43,3.36953,18356,54%
25,28.016,3.1823,9628,28%
26,28.164,3.16597,3910,12%
27,29.13,3.06327,552,2%
28,29.7,3.00557,799,2%
29,30.02,2.97428,2725,8%
30,30.628,2.91661,3400,10%
31,30.996,2.88284,2421,7%
32,31.576,2.8312,2259,7%
33,32.658,2.73983,850,3%
34,32.95,2.71631,431,1%
35,33.295,2.6888,1887,6%
36,33.8,2.64976,2964,9%
37,35.06,2.55763,1199,4%
38,35.426,2.53179,3426,10%
39,35.586,2.5208,4384,13%
40,35.92,2.49794,500,1%
41,36.534,2.45752,2679,8%
42,37.074,2.42298,1143,3%
43,37.616,2.3893,536,2%
44,38.13,2.35799,1057,3%
45,38.56,2.33306,1731,5%
46,39.218,2.29527,980,3%
47,39.729,2.26696,1467,4%
48,40.624,2.21904,2257,7%
49,41.32,2.18334,890,3%
50,42.2,2.13986,1389,4%
51,42.76,2.11298,1812,5%
52,43.79,2.06588,681,2%
53,44.58,2.03105,1628,5%
54,44.68,2.02661,1483,4%
55,45.083,2.00939,363,1%
56,45.857,1.97724,2012,6%
57,46.63,1.9463,858,3%
58,46.95,1.93366,455,1%
59,47.67,1.90628,518,2%
60,48.08,1.89074,630,2%
61,49.69,1.83344,442,1%
62,49.96,1.82422,354,1%
63,50.3,1.81235,222,1%
